Source.Name;title;source/name;link;iso_date.1;source/authors/0
convertcsv (1).csv;Estas son las especies que están en Peligro Crítico de Extinción en Chile;Canal 13;https://www.13.cl/c/programas/espacio-13c/estas-son-las-especies-que-estan-en-peligro-critico-de-extincion-en-chile;13-10-2023;
convertcsv (1).csv;Una nueva lista que no quisiéramos tener que mostrar: 12 especies silvestres chilenas están peligro crítico de extinción;Meteored Chile;https://www.meteored.cl/noticias/actualidad/una-nueva-lista-que-no-quisieramos-tener-que-mostrar-12-especies-silvestres-chilenas-estan-peligro-critico-de-extincion.html;11-10-2023;Gabriela Aceiton Cortes
convertcsv (10).csv;La biodiversidad de la Reserva Nacional La Chimba: identifican más de 350 especies y 13 de ellas están bajo alguna categoría de amenaza;Ladera Sur;https://laderasur.com/articulo/la-biodiversidad-de-la-reserva-nacional-la-chimba-identifican-mas-de-350-especies-y-13-de-ellas-estan-bajo-alguna-categoria-de-amenaza/;13-06-2022;
convertcsv (10).csv;Google homenajea a Nettie Stevens, la descubridora de los cromosomas XY;Analitica.com;https://www.analitica.com/entretenimiento/vida-con-estilo/google-homenajea-a-nettie-stevens-la-descubridora-de-los-cromosomas-xy-2/;07-07-2016;
convertcsv (11).csv;Araña pollito: El mapa de las regiones desde Atacama al Biobío donde habita y protege el ecosistema;elmorrocotudo.cl;https://www.elmorrocotudo.cl/noticia/sociedad/arana-pollito-el-mapa-de-las-regiones-desde-atacama-al-biobio-donde-habita-y-proteg;22-03-2026;
convertcsv (11).csv;Micromundo Animal: Hoy conocemos a la araña pollito;TVN;https://www.tvn.cl/programas/accion-animal/destacados/micromundo-animal-hoy-conocemos-a-la-arana-pollito;01-02-2025;Sebastián Jiménez
convertcsv (11).csv;Tarántula chilena viajó a Europa: Araña pollito apareció entre frutas;Cooperativa.cl;https://www.cooperativa.cl/noticias/pais/medioambiente/animales/tarantula-chilena-viajo-a-europa-arana-pollito-aparecio-entre-frutas/2020-05-18/113133.html;18-05-2020;
convertcsv (11).csv;23° PREMIO MUNICIPAL STGO ARTE JOVEN;ARTISHOCK REVISTA;https://artishockrevista.com/2023/04/26/23-premio-municipal-stgo-arte-joven/;26-04-2023;
convertcsv (11).csv;Animales Chilenos Superasombrosos: La Iguana y Araña Pollito;TVN;https://www.tvn.cl/ntv/noticias/descubrimos-las-habilidades-de-la-arana-pollito-y-la-iguana-en-ntv;31-03-2023;
convertcsv (11).csv;GABRIEL HOLZAPFEL. CONTRA TODO PRONÓSTICO;ARTISHOCK REVISTA;https://artishockrevista.com/2022/08/26/gabriel-holzapfel-pcdv/;26-08-2022;
convertcsv (11).csv;Alfredo Ugarte y sus “bichos raros” celebraron el Día del Médico Veterinario en la Universidad Mayor;araucanianoticias.cl;https://araucanianoticias.cl/2013/alfredo-ugarte-y-sus-bichos-raros-celebraron-el-da-del-mdico-veterinario-en-la-universidad-mayor/100433537;04-10-2013;
convertcsv (12).csv;Araña pollito: El mapa de las regiones desde Atacama al Biobío donde habita y protege el ecosistema;elmorrocotudo.cl;https://www.elmorrocotudo.cl/noticia/sociedad/arana-pollito-el-mapa-de-las-regiones-desde-atacama-al-biobio-donde-habita-y-proteg;22-03-2026;
convertcsv (12).csv;Conflicto de interés en SLEP de Atacama: Nueva directora tiene a dos hijas trabajando en el mismo servicio;El Desconcierto;https://eldesconcierto.cl/2023/11/07/conflicto-de-interes-en-slep-de-atacama-nueva-directora-tiene-a-dos-hijas-trabajando-en-el-mismo-servicio;07-11-2023;
convertcsv (13).csv;Picaflor de Arica preocupa al municipio por su bajo avistamiento;Municipalidad de Arica;https://www.muniarica.cl/noticias/publicacion/picaflor-de-arica-preocupa-al-municipio-por-su-bajo-avistamiento;06-04-2026;
convertcsv (13).csv;Después de más de 10 años sin registros: Ejemplares del Picaflor de Arica fueron avistados en Chaca;Diario Usach;https://www.diariousach.cl/despues-de-mas-de-10-anos-sin-registros-ejemplares-del-picaflor-de-arica;10-04-2026;
