position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Araña pollito: El mapa de las regiones desde Atacama al Biobío donde habita y protege el ecosistema,elmorrocotudo.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.elmorrocotudo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elmorrocotudo.cl/noticia/sociedad/arana-pollito-el-mapa-de-las-regiones-desde-atacama-al-biobio-donde-habita-y-proteg,https://cdn.elmorrocotudo.cl/sites/elmorrocotudo.cl/files/imagecache/380x285/imagen_noticia/arana_pollito_de_atacama_al_biobio_vive_y_protege_el_ecosistema_de_nuestro_aracnido.png,https://news.google.com/api/attachments/CC8iK0NnNTZSVEJUU1ZneU16UlpjRVJWVFJDZEFoaVFBeWdLTWdhQmNJelFzQVU,"03/22/2026, 04:13 PM, +0000 UTC",2026-03-22T16:13:09Z,
2,Inesperado: apareció una araña pollito en la playa y causó todo tipo de reacciones,0223.com.ar,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.0223.com.ar&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.0223.com.ar/nota/2026-4-8-18-9-0-inesperado-aparecio-una-arana-pollito-en-la-playa-y-causo-todo-tipo-de-reacciones,https://pxcdn.0223.com.ar/f/042026/1775680731592.webp?cw=748&ch=420&cma=1&extw=jpg,https://news.google.com/api/attachments/CC8iK0NnNTFOMlJIY1dWQmIyZFZSMlJrVFJDZkF4ampCU2dLTWdhcFlwYU9yUWM,"04/08/2026, 09:09 PM, +0000 UTC",2026-04-08T21:09:00Z,
3,Recorridos guiados sobre la tarántula enana se realizarán en el Cerro Condell de Curicó,VLN Radio,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.vlnradio.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.vlnradio.cl/noticias/nacional/region-del-maule/curico/2025/08/26/recorridos-guiados-sobre-la-tarantula-enana-se-realizaran-en-el-cerro-condell-de-curico/,https://media.vlnradio.cl/wp-content/uploads/2025/08/primer-plano-tarantula-enana-sobre-superficie-madera-kzn-chile_665346-73359_1756230921.jpg?w=0,https://news.google.com/api/attachments/CC8iK0NnNU1XSFExWm5GdFRsSlFiVFJqVFJEV0F4anlCQ2dLTWdZaGs1SnNOUVk,"08/26/2025, 07:00 AM, +0000 UTC",2025-08-26T07:00:00Z,
4,"VIDEO: Encuentro sorpresivo con una ""araña pollito"" en Brazo Tristeza",ANBariloche,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.anbariloche.com.ar&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.anbariloche.com.ar/noticias/2026/02/04/102197-video-encuentro-sorpresivo-con-una-arana-pollito-en-brazo-tristeza,https://anbariloche-s3.cdn.net.ar/s3i233/2026/02/anbariloche/images/02/46/07/2460736_ed57edfd0560d8ec46eb5a47cbf9a79def8f157ca5b0983df9112aaca855ec2b/lg.webp,https://news.google.com/api/attachments/CC8iK0NnNUtlalpEZGpVelRsbGZVbUYxVFJDcEJCaXFCQ2dLTWdhQlU0WlJKUWc,"02/04/2026, 08:00 AM, +0000 UTC",2026-02-04T08:00:00Z,
5,¡En guardia! Mira cómo esta araña pollito se posiciona para defenderse,13.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.13.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.13.cl/c/programas/espacio-13c/en-guardia-mira-como-esta-arana-pollito-se-posiciona-para-defenderse,https://s.13.cl/sites/default/files/styles/manualcrop_850x475/public/13c/articulos/field-imagen/2023-07/ARA%C3%91A%20PORTADA.jpg.jpeg?itok=C-_9eVBj,https://news.google.com/api/attachments/CC8iK0NnNWFSVmxyZDFkUVIzQjRjVVpYVFJDOEF4aXpCU2dLTWdhQkFZeFBPUVU,"07/07/2023, 07:00 AM, +0000 UTC",2023-07-07T07:00:00Z,María Constanza Khamis Giacoman
6,"""Bichos en la escuela, Historia Natural de una araña Pollito""",Museo de Historia Natural de Valparaíso,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.mhnv.gob.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.mhnv.gob.cl/cartelera/bichos-en-la-escuela-historia-natural-de-una-arana-pollito,https://www.mhnv.gob.cl/sites/www.mhnv.gob.cl/files/styles/4x3_grande/public/2021-04/bichos%20en%20la%20escuela.jpg?h=b729e727&itok=wQMOBfsU,https://news.google.com/api/attachments/CC8iK0NnNTVlbnBHVWtKallsUmZOVmh1VFJEZ0F4aUFCU2dLTWdZaEJZak50UVU,"03/28/2015, 07:00 AM, +0000 UTC",2015-03-28T07:00:00Z,
7,VIDEO| Piden cuidar mini araña pollito que solo existe en un cerro de Chile y se vende por $ 150 mil,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldesconcierto.cl/2024/08/31/video-piden-cuidar-mini-arana-pollito-que-solo-existe-en-un-cerro-de-chile-y-se-vende-por-150-mil,,,"08/30/2024, 07:00 AM, +0000 UTC",2024-08-30T07:00:00Z,María del Mar Parra
8,"Arañas pollito, escorpiones, moscos y pulgones se suman a especies en peligro",MMA – Ministerio del Medio Ambiente,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://mma.gob.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://mma.gob.cl/aranas-pollito-escorpiones-moscos-y-pulgones-se-suman-a-especies-en-peligro/,https://mma.gob.cl/wp-content/uploads/2017/06/arana-300x251.jpg,https://news.google.com/api/attachments/CC8iK0NnNU9jMloyUlhSZllsWkNSbFJJVFJEN0FSaXNBaWdLTWdhQkVaRHdyQWM,"06/15/2017, 07:00 AM, +0000 UTC",2017-06-15T07:00:00Z,
9,Tarántula chilena viajó a Europa: Araña pollito apareció entre frutas,Cooperativa.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cooperativa.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativa.cl/noticias/pais/medioambiente/animales/tarantula-chilena-viajo-a-europa-arana-pollito-aparecio-entre-frutas/2020-05-18/113133.html,https://www.cooperativa.cl/noticias/site/artic/20200518/imag/foto_0000000120200518113133.jpg,https://news.google.com/api/attachments/CC8iK0NnNTRTbXhQUkZKVGNEVlJkRFpPVFJDZkF4amlCU2dLTWdZeE1JaVdwQWM,"05/18/2020, 07:00 AM, +0000 UTC",2020-05-18T07:00:00Z,
10,Micromundo Animal: Hoy conocemos a la araña pollito,TVN,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.tvn.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.tvn.cl/programas/accion-animal/destacados/micromundo-animal-hoy-conocemos-a-la-arana-pollito,https://www.tvn.cl/tvn/site/artic/20250201/imag/foto_0000000620250201185350/thumb_679e794efe6447beb7d3f3e7.jpg,https://news.google.com/api/attachments/CC8iJ0NnNXhhazVHTm5oNk9ETllTWFpXVFJDb0FSaXNBaWdCTWdNVk5CQQ,"02/01/2025, 08:00 AM, +0000 UTC",2025-02-01T08:00:00Z,Sebastián Jiménez
11,"Revisamos junto a Gepe su nuevo álbum, ""UNDESASTRE"", canción por canción",larata.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.larata.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.larata.cl/xtrack/2024/10/08/gepe-undesastre/99285/,https://www.larata.cl/wp-content/uploads/2024/10/gepe-2024.jpg,https://news.google.com/api/attachments/CC8iK0NnNDROR2hrUlRaUVFuUjNRemRYVFJERUF4aW1CU2dLTWdhbE5KVE1IUWs,"10/08/2024, 07:00 AM, +0000 UTC",2024-10-08T07:00:00Z,
12,"Biólogo descubre en Tarapacá nueva ""araña pollito"" llamada cariñosamente Lara",El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldesconcierto.cl/2023/09/11/biologo-descubre-en-tarapaca-nueva-arana-pollito-llamada-carinosamente-lara,,,"09/11/2023, 07:00 AM, +0000 UTC",2023-09-11T07:00:00Z,
13,Animales Chilenos Superasombrosos: La Iguana y Araña Pollito,TVN,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.tvn.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.tvn.cl/ntv/noticias/descubrimos-las-habilidades-de-la-arana-pollito-y-la-iguana-en-ntv,https://www.tvn.cl/tvn/site/artic/20230331/imag/foto_0000002120230331103324/animales_chilenos.jpg,https://news.google.com/api/attachments/CC8iK0NnNWllWGxuUnpCUFdHeEZVVm8xVFJDaUF4amRCU2dLTWdZQm9KQ3lQQVU,"03/31/2023, 07:00 AM, +0000 UTC",2023-03-31T07:00:00Z,
14,"""Había una sección en Mekano... Con los ojos vendados, metí la mano y de repente me subió una araña pollito. Y yo grito '¡está vivo maluco!'"", cuenta Maluco sobre el origen de su apodo",La Cuarta,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.lacuarta.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.lacuarta.com/glamorama/noticia/habia-una-seccion-en-mekano-con-los-ojos-vendados-meti-la-mano-y-de-repente-me-subio-una-arana-pollito-y-yo-grito-esta-vivo-maluco-cuenta-maluco-sobre-el-origen-de-su-apodo/,https://www.lacuarta.com/resizer/v2/TSOKFGDQOVAN5JEQTHLQ2MOV7I.jpg?auth=b25de32882c1339daa5acbf8bbbe93c2332cf6e568abb8f72cc146f8c6e90bd3&width=1200&smart=true,https://news.google.com/api/attachments/CC8iK0NnNXpaVzFrUTFvNVoyZHJXWGQ0VFJDSEF4aVBCaWdLTWdZeFpKQ1BLUWM,"07/16/2022, 07:00 AM, +0000 UTC",2022-07-16T07:00:00Z,
15,¡A tener ojo! Descubren nueva especie de araña venenosa en Talca. Mide cerca de 10 centímetros y se parece a la “araña pollito”,Publimicro,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://publimicro.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://publimicro.cl/a-tener-ojo-descubren-nueva-especie-de-arana-venenosa-en-talca-mide-cerca-de-10-centimetros-y-se-parece-a-la-arana-pollito/,https://publimicro.cl/wp-content/uploads/2025/02/%C2%A1A-tener-ojo-Descubren-nueva-especie-de-arana-venenosa-en-Talca.-Mide-cerca-de-10-centimetros-y-se-parece-a-la-arana-pollito.png,https://news.google.com/api/attachments/CC8iK0NnNTZSSGt5UVVSTGRXUkZUVGt3VFJDcUJCaXFCQ2dLTWdZQkVJek1NQVk,"02/02/2025, 03:13 AM, +0000 UTC",2025-02-02T03:13:25Z,
16,Recaudos a tener en cuenta en caso de ver a una araña pollito en casa,Diario TAG,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.diariotag.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariotag.com/120116-recaudos-a-tener-en-cuenta-en-caso-de-ver-a-una-arana-pollito-en-casa,https://www.diariotag.com/content/bucket/7/184237w263h215c.jpg.webp,https://news.google.com/api/attachments/CC8iK0NnNTJUM28xVURnM1VWWk9abVV4VFJETEFSajRBU2dCTWdZQkJKb21qZ28,"03/07/2022, 08:00 AM, +0000 UTC",2022-03-07T08:00:00Z,
17,Este es el desconocido enemigo de las temidas arañas de rincón,La Cuarta,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.lacuarta.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.lacuarta.com/cronica/noticia/enemigo-arana-rincon/247902/,,,"02/19/2018, 08:00 AM, +0000 UTC",2018-02-19T08:00:00Z,Sebastian Foncea
