position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Avistamiento de picaflor de Arica: hito histórico tras 10 años de ausencia,Radio Candelaria,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://fmcandelaria.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://fmcandelaria.cl/regionales/region-de-arica-y-parinacota/avistamiento-de-picaflor-de-arica-hito-historico-tras-10-anos-de-ausencia,https://fmcandelaria.cl/radios/site/artic/20260409/imag/foto_0000001520260409130055/Copia_de_940_x_788.jpg,https://news.google.com/api/attachments/CC8iK0NnNUlkbnA1WjFkaFVsa3lSRzlxVFJDcEFSaXFBaWdCTWdZUlJZTHJwUVU,"04/09/2026, 04:56 PM, +0000 UTC",2026-04-09T16:56:00Z,
2,Picaflor de Arica reaparece en Chaca tras más de 10 años sin registros: quedan solo 400 ejemplares,BioBioChile,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.biobiochile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/medio-ambiente-cyt/2026/04/08/picaflor-de-arica-reaparece-en-chaca-tras-mas-de-10-anos-sin-registros-quedan-solo-400-ejemplares.shtml,https://media.biobiochile.cl/wp-content/uploads/2026/04/picaflor-de-arica-1-750x400.jpg,https://news.google.com/api/attachments/CC8iL0NnNDJlV3h2WkRWWk1sWmpRa0p4VFJDUUF4anVCU2dLTWdrWlFZWU9yZVNhQ1FJ,"04/08/2026, 03:28 PM, +0000 UTC",2026-04-08T15:28:17Z,
3,SMA ordena medidas contra Transelec por posible perturbación del Picaflor de Arica,Superintendencia Del Medio Ambiente,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://portal.sma.gob.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://portal.sma.gob.cl/index.php/sma-ordena-medidas-contra-transelec-por-posible-perturbacion-del-picaflor-de-arica/,https://portal.sma.gob.cl/wp-content/uploads/2025/08/web-mma-foto.jpg,https://news.google.com/api/attachments/CC8iK0NnNXBNMWRoYzBRekxXSldlRUZhVFJDMUF4aTlCU2dLTWdZaFFvenNwUWM,"08/11/2025, 07:00 AM, +0000 UTC",2025-08-11T07:00:00Z,
4,Alertan pérdida de hábitat del picaflor de Arica por expansión de monocultivos en valles del norte,El Mostrador,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elmostrador.cl/cultura/ciencia-cultura/2026/03/05/alertan-perdida-de-habitat-del-picaflor-de-arica-por-expansion-de-monocultivos-en-valles-del-norte/,https://media-front.elmostrador.cl/2026/03/unnamed-124-700x467.jpg,https://news.google.com/api/attachments/CC8iK0NnNW1NVkIxYTBzMlpEZ3dZazVIVFJERUF4aW1CU2dLTWdhQk1ZSndJUWc,"03/05/2026, 08:00 AM, +0000 UTC",2026-03-05T08:00:00Z,
5,Estudio advierte cómo el picaflor de Arica está perdiendo su hábitat debido a los monocultivos,BioBioChile,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.biobiochile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/medio-ambiente-cyt/2026/03/16/estudio-advierte-como-el-picaflor-de-arica-esta-perdiendo-su-habitat-debido-a-los-monocultivos.shtml,https://media.biobiochile.cl/wp-content/uploads/2026/03/picaflor-de-arica-750x400.jpg,https://news.google.com/api/attachments/CC8iK0NnNTVZbXczZDNwYVVrdzNZWEZ1VFJDUUF4anVCU2dLTWdhdGhJN1B0UVk,"03/16/2026, 07:00 AM, +0000 UTC",2026-03-16T07:00:00Z,
6,Solo quedan 400: Crean microreserva de más de 15 hectáreas para proteger al picaflor de Arica,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/solo-quedan-400-crean-microreserva-de-mas-de-15-hectareas-para-proteger-al-picaflor-de-arica/,https://laderasur.com/wp-content/uploads/2026/02/picaflordearica-tamaracatalanbermudez-inaturalist-.jpg,https://news.google.com/api/attachments/CC8iK0NnNVVNRTFTTFc0M1dHMU9OalZ6VFJERUF4aW1CU2dLTWdZSmdwRHJNUWM,"02/25/2026, 08:00 AM, +0000 UTC",2026-02-25T08:00:00Z,
7,Estudio advierte pérdida de hábitat del picaflor de Arica por expansión agrícola,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativaciencia.cl/medio-ambiente/2026/03/12/estudio-advierte-perdida-de-habitat-del-picaflor-de-arica-por-expansion-agricola/,https://www.cooperativaciencia.cl/wp-content/uploads/2026/03/jcr_content-720x480.jpg,https://news.google.com/api/attachments/CC8iK0NnNVNielZqZGxnM1ozY3hMVzFxVFJERUF4aW1CU2dLTWdhQk1ZSndJUWc,"03/12/2026, 07:00 AM, +0000 UTC",2026-03-12T07:00:00Z,
8,"Picaflor de Arica pierde terreno: Estudio alerta impacto de monocultivos en Azapa, ¿qué hacer?",Fundación Terram,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.terram.cl/picaflor-de-arica-pierde-terreno-estudio-alerta-impacto-de-monocultivos-en-azapa-que-hacer/,https://www.terram.cl/wp-content/uploads/2026/03/picaflor_de_arica_pierde_terreno_estudio_alerta_impacto_de_monocultivos_en_azapa_que_hacer.jpg,https://news.google.com/api/attachments/CC8iI0NnNDNObGw0Ym1sQ01rMVhYMDlKVFJDZEFoaVFBeWdLTWdB,"03/05/2026, 08:00 AM, +0000 UTC",2026-03-05T08:00:00Z,
9,El desierto que se vuelve invernadero: la agricultura intensiva acorrala al picaflor de Arica,Meteored Chile,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.meteored.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.meteored.cl/noticias/ciencia/el-desierto-que-se-vuelve-invernadero-la-agricultura-intensiva-acorrala-al-picaflor-de-arica.html,https://services.meteored.com/img/article/el-desierto-que-se-vuelve-invernadero-la-agricultura-intensiva-acorrala-al-picaflor-de-arica-1774461096703_512.jpg,https://news.google.com/api/attachments/CC8iK0NnNXdMVkpMVkVaWVVERXdUblZLVFJEb0FoaUFCQ2dLTWdZQlFvU1BvUWc,"03/25/2026, 07:00 AM, +0000 UTC",2026-03-25T07:00:00Z,Gabriela Aceiton Cortes
10,Picaflor de Arica en peligro: Monocultivos amenazan su hábitat,Cooperativa.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cooperativa.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativa.cl/noticias/pais/medioambiente/animales/picaflor-de-arica-en-peligro-monocultivos-amenazan-su-habitat/2026-03-04/154152.html,https://www.cooperativa.cl/noticias/site/artic/20260304/imag/foto_0000000120260304154152.jpg,https://news.google.com/api/attachments/CC8iK0NnNVVXRmxVUjBGeGNYVnhXSFpaVFJDZkF4ampCU2dLTWdhQklvSnduUWs,"03/04/2026, 08:00 AM, +0000 UTC",2026-03-04T08:00:00Z,
