position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Después de más de 10 años sin registros: Ejemplares del Picaflor de Arica fueron avistados en Chaca,Diario Usach,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.diariousach.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariousach.cl/despues-de-mas-de-10-anos-sin-registros-ejemplares-del-picaflor-de-arica,https://www.diariousach.cl/diario/site/artic/20260410/imag/foto_0000000220260410105204/Picaflor-de-Arica-Jorge-Herreros-dd.jpg,https://news.google.com/api/attachments/CC8iK0NnNXhNR2QxYnpZNVpFUlJiMjEyVFJDeEFSaWNBaWdCTWdZdE1JeVBtUWc,"04/10/2026, 03:22 PM, +0000 UTC",2026-04-10T15:22:29Z,
2,Picaflor de Arica reaparece en Chaca tras más de 10 años sin registros: quedan solo 400 ejemplares,BioBioChile,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.biobiochile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/medio-ambiente-cyt/2026/04/08/picaflor-de-arica-reaparece-en-chaca-tras-mas-de-10-anos-sin-registros-quedan-solo-400-ejemplares.shtml,https://media.biobiochile.cl/wp-content/uploads/2026/04/picaflor-de-arica-1-750x400.jpg,https://news.google.com/api/attachments/CC8iL0NnNDJlV3h2WkRWWk1sWmpRa0p4VFJDUUF4anVCU2dLTWdrWlFZWU9yZVNhQ1FJ,"04/08/2026, 03:28 PM, +0000 UTC",2026-04-08T15:28:17Z,
3,Plan RECOGE da frutos: Picaflor de Arica reaparece en Chaca tras más de una década sin registros,Fundación Terram,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.terram.cl/plan-recoge-da-frutos-picaflor-de-arica-reaparece-en-chaca-tras-mas-de-una-decada-sin-registros/,https://www.terram.cl/wp-content/uploads/2026/04/picaflor-de-aricae92dbcec-e010-404f-a9d8-3da4354c8d5a.tmb-noticiades.jpg,https://news.google.com/api/attachments/CC8iK0NnNDROMlpOYVdJNFRuZE1Sa0puVFJDNkF4aTJCU2dLTWdhNVVwUTBvUWs,"04/07/2026, 03:04 PM, +0000 UTC",2026-04-07T15:04:24Z,
4,Esperanza para la biodiversidad: Picaflor de Arica reaparece en Chaca tras más de una década sin registros,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativaciencia.cl/medio-ambiente/2026/04/08/esperanza-para-la-biodiversidad-picaflor-de-arica-reaparece-en-chaca-tras-mas-de-una-decada-sin-registros/,https://www.cooperativaciencia.cl/wp-content/uploads/2026/04/picaflor-de-aricae92dbcec-e010-404f-a9d8-3da4354c8d5a.tmb-noticiades-720x459.jpg,https://news.google.com/api/attachments/CC8iK0NnNXBZbXhITTNJMk1YQklOMVZ5VFJDNkF4aTJCU2dLTWdhNVVwUTBvUWs,"04/08/2026, 07:37 PM, +0000 UTC",2026-04-08T19:37:34Z,
5,Captan por primera vez a picaflor de Arica tras 10 años sin ser visto en microreserva de Chaca: Solo quedan 400 ejemplares,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldesconcierto.cl/medio-ambiente/captan-primera-vez-picaflor-arica-10-anos-ser-visto-microreserva-chaca-solo-quedan-400-ejemplares-n5457867,https://media.eldesconcierto.cl/p/ee1e0886237b9efbb9909359db93da46/adjuntos/378/imagenes/100/126/0100126381/1200x675/smart/diseno-titulo-19.jpg,https://news.google.com/api/attachments/CC8iK0NnNUlRV05MYWtwdVIyUmlWRGN0VFJDZkF4ampCU2dLTWdZMU01cFNtUW8,"04/07/2026, 08:00 PM, +0000 UTC",2026-04-07T20:00:00Z,
6,Preocupación por bajo avistamiento del Picaflor de Arica,Arica al día,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.aricaldia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.aricaldia.cl/preocupacion-por-bajo-avistamiento-del-picaflor-de-arica/,https://www.aricaldia.cl/wp-content/uploads/2026/04/55181357142_de402b2dbb_c-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNUxhQzFEVFd0aGVHdGtVaTFUVFJERUF4aW1CU2dLTWdZaEFJcndsQWc,"04/07/2026, 10:20 AM, +0000 UTC",2026-04-07T10:20:59Z,
7,"Captan en Chile un picaflor de Arica, especie en peligro de extinción",Crónica Digital,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://cronicadigital.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://cronicadigital.cl/captan-en-chile-un-picaflor-de-arica-especie-en-peligro-de-extincion/,https://cronicadigital.cl/wp-content/uploads/2026/04/picaflor-de-Arica-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNHhVRzh5TFVNdFZqbFFNRFJoVFJERkF4aW1CU2dLTWdhbFJJenRvUWM,"04/08/2026, 11:07 PM, +0000 UTC",2026-04-08T23:07:14Z,
8,Fotos | Caen avistamientos y crece alerta: ¿Dónde está el picaflor de Arica?,elmorrocotudo.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.elmorrocotudo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elmorrocotudo.cl/noticia/sociedad/fotos-caen-avistamientos-y-crece-alerta-donde-esta-el-picaflor-de-arica,https://cdn.elmorrocotudo.cl/sites/elmorrocotudo.cl/files/imagecache/380x285/imagen_noticia/donde_esta_el_picaflor_de_arica_caen_avistamientos_y_crece_alerta_por_su_baja_presencia.jpg,https://news.google.com/api/attachments/CC8iK0NnNVNRMXBKU2xkdVNuVnZkbVZSVFJDOUFSaUtBaWdCTWdZaEFJeVNsQWc,"04/07/2026, 08:55 PM, +0000 UTC",2026-04-07T20:55:22Z,
9,HISTÓRICO AVISTAMIENTO REMECE AL NORTE: REAPARECE EL PICAFLOR DE ARICA TRAS MÁS DE UNA DÉCADA Y REVIVE LA ESPERANZA DE SALVARLO DE LA EXTINCIÓN,Vilas Radio,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://vilasradio.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://vilasradio.cl/historico-avistamiento-remece-al-norte-reaparece-el-picaflor-de-arica-tras-mas-de-una-decada-y-revive-la-esperanza-de-salvarlo-de-la-extincion/,https://vilasradio.cl/wp-content/uploads/2026/04/migraciones-1-86.png,https://news.google.com/api/attachments/CC8iK0NnNVJVRkZDWkhWNWRGZDZkak5HVFJDdUF4aktCU2dLTWdhSlJvUUpNZ1k,"04/09/2026, 12:30 AM, +0000 UTC",2026-04-09T00:30:00Z,
10,Estudio U. de Chile alerta pérdida de hábitat del picaflor de Arica por expansión de monocultivos en valles del norte,Universidad de Chile,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://uchile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://uchile.cl/noticias/237158/estudio-u-de-chile-alerta-perdida-de-habitat-del-picaflor-de-arica,https://portaluchile.uchile.cl//.imaging/default/dam/imagenes/Uchile/VEXCOM/ENERO-2026/OneDrive_2026-01-28.zip/Picaflor-de-Arica/Picaflor-de-Arica-1-L.jpg/jcr:content.jpg,https://news.google.com/api/attachments/CC8iJ0NnNWlTRk5oZVZKWU5WODJNR1EyVFJDb0FSaXNBaWdCTWdNdHRSWQ,"01/28/2026, 08:00 AM, +0000 UTC",2026-01-28T08:00:00Z,
11,Avistamiento de picaflor de Arica: hito histórico tras 10 años de ausencia,Radio Candelaria,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://fmcandelaria.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://fmcandelaria.cl/regionales/region-de-arica-y-parinacota/avistamiento-de-picaflor-de-arica-hito-historico-tras-10-anos-de-ausencia,https://fmcandelaria.cl/radios/site/artic/20260409/imag/foto_0000001520260409130055/Copia_de_940_x_788.jpg,https://news.google.com/api/attachments/CC8iK0NnNUlkbnA1WjFkaFVsa3lSRzlxVFJDcEFSaXFBaWdCTWdZUlJZTHJwUVU,"04/09/2026, 04:56 PM, +0000 UTC",2026-04-09T16:56:00Z,
