position,title,source/name,source/icon,source/authors/0,link,thumbnail,thumbnail_small,date,iso_date
1,Plan RECOGE de la ranita de Darwin es oficial tras retiro y reingreso de Kast: especie en peligro será protegida,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Nicole Farias Donoso,https://eldesconcierto.cl/medio-ambiente/plan-recoge-la-ranita-darwin-es-oficial-retiro-y-reingreso-kast-especie-peligro-sera-protegida-n5457936,https://media.eldesconcierto.cl/p/ccb805bb16222bde9ae3a3e3ded67ff1/adjuntos/378/imagenes/100/126/0100126531/1200x675/smart/diseno-titulo-8.jpg,https://news.google.com/api/attachments/CC8iK0NnNWZMVjkxUWpkUlVuTmthMVpKVFJDZkF4ampCU2dLTWdhZHM0YXRQUVU,"04/09/2026, 03:25 PM, +0000 UTC",2026-04-09T15:25:00Z
2,"Chile redobla esfuerzos por salvar a la ""ranita de Darwin""",DW.com,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.dw.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.dw.com/es/chile-redobla-esfuerzos-por-salvar-a-la-amenazada-ranita-de-darwin/a-73483338,https://static.dw.com/image/73482816_804.jpg,https://news.google.com/api/attachments/CC8iK0NnNXRja1pXTUc1b04yWlNla3hDVFJDcUJCaXFCQ2dLTWdZQlVvb3NOUVU,"07/31/2025, 07:00 AM, +0000 UTC",2025-07-31T07:00:00Z
3,La esperanza de encontrar a la ranita de Darwin del norte: el anfibio que “desapareció” en los años 80 y que algunos creen extinto,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Paula Diaz Levi,https://laderasur.com/articulo/la-esperanza-de-encontrar-la-ranita-de-darwin-del-norte-el-anfibio-que-desaparecio-en-los-anos-80-y-que-algunos-creen-extinto/,https://laderasur.com/wp-content/uploads/2021/08/representacion-de-rhinoderma-rufum-ccarlos-laporte-portada-2.jpg,https://news.google.com/api/attachments/CC8iK0NnNXNOM1p5YVVKM2R6VlphVVZwVFJEREJCaVNCQ2dLTWdZUmNvb3BNUWM,"08/25/2021, 07:00 AM, +0000 UTC",2021-08-25T07:00:00Z
4,Gobierno ultraderechista chileno da marcha atrás y protege a rana de Darwin,Infobae,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.infobae.com/america/agencias/2026/03/19/gobierno-ultraderechista-chileno-da-marcha-atras-y-protege-a-rana-de-darwin/,https://www.infobae.com/assets/images/logos/fallback-logo-infobae-naranja-1200x900.png,https://news.google.com/api/attachments/CC8iK0NnNXBVbWxxV25SbE5HaE5lRFJEVFJEZ0F4aUFCU2dLTWdZSmtwUXl2UWM,"03/19/2026, 07:00 AM, +0000 UTC",2026-03-19T07:00:00Z
5,Consejo de Ministros para la Sustentabilidad aprueba plan para proteger a emblemáticas ranitas chilenas en peligro de extinción,País Circular,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.paiscircular.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.paiscircular.cl/medio-ambiente/consejo-de-ministros-para-la-sustentabilidad-aprueba-plan-para-proteger-a-emblematicas-ranitas-chilenas-en-peligro-de-extincion/,https://www.paiscircular.cl/wp-content/uploads/2025/07/Darwins-frog-Credito-ONG-Ranita-de-Darwin-1024x683.jpg,https://news.google.com/api/attachments/CC8iK0NnNXVXRUZtVDJKbGJ6QkhlbXRxVFJERUF4aW1CU2dLTWdhQjA0WnV3UVE,"07/24/2025, 07:00 AM, +0000 UTC",2025-07-24T07:00:00Z
6,"Se busca: UdeC inicia campaña para encontrar a la ""hermana perdida"" de la Ranita de Darwin",Noticias UdeC,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://noticias.udec.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://noticias.udec.cl/se-busca-udec-inicia-campana-para-encontrar-a-la-hermana-perdida-de-la-ranita-de-darwin/,https://noticias.udec.cl/wp-content/uploads/2024/10/rufum-dorsal-1024x682.png,https://news.google.com/api/attachments/CC8iL0NnNUlTMTgxYjBSTFpsOTRUWEJuVFJERUF4aW5CU2dLTWdrTk1KQnBNT2VCa2dF,"10/02/2024, 07:00 AM, +0000 UTC",2024-10-02T07:00:00Z
7,"Chile aprueba plan nacional para salvar a las ranitas de Darwin, íconos de su biodiversidad en peligro de extinción",Diario Sustentable,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.diariosustentable.com/2025/07/chile-aprueba-plan-nacional-para-salvar-a-las-ranitas-de-darwin-iconos-de-su-biodiversidad-en-peligro-de-extincion/,https://www.diariosustentable.com/wp-content/uploads/2025/07/A-Darwins-frog-female-from-Southern-Chile-credits-ONG-Ranita-de-Darwin-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNDVhV3BxTUZaeFMzTndkamcyVFJERUF4aW5CU2dLTWdhUlFvQ3IwUUk,"07/25/2025, 07:00 AM, +0000 UTC",2025-07-25T07:00:00Z
8,Aprueban inédito plan de conservación para salvar a la Ranita de Darwin de la extinción,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativaciencia.cl/medio-ambiente/2025/07/25/aprueban-inedito-plan-de-conservacion-para-salvar-a-la-ranita-de-darwin-de-la-extincion/,https://www.cooperativaciencia.cl/wp-content/uploads/2025/07/A-Darwins-frog-female-from-Southern-Chile-credits-ONG-Ranita-de-Darwin-768x512.jpg,https://news.google.com/api/attachments/CC8iK0NnNVdXa3N0YzBGaWVqZG5ORU16VFJERUF4aW1CU2dLTWdZUlFvQ3IwUUk,"07/25/2025, 07:00 AM, +0000 UTC",2025-07-25T07:00:00Z
9,Inician campaña en Concepción para encontrar a la 'hermana perdida' de la Ranita de Darwin,Meganoticias,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.meganoticias.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Patricio Vargas Bustos,https://www.meganoticias.cl/nacional/461530-inician-campana-concepcion-encontrar-hermana-perdida-ranita-darwin-brk-10-10-2024.html,https://images2-mega.cdn.mdstrm.com/meganoticias/2024/10/10/461530_1_67076e0e06e66.jpg?d=1200x675,https://news.google.com/api/attachments/CC8iK0NnNXJibU52UjNWa2JFZ3dhRVJSVFJDZkF4ampCU2dLTWdhcE5KU3VHUWc,"10/10/2024, 07:00 AM, +0000 UTC",2024-10-10T07:00:00Z
10,Mundo público y privado reafirma su compromiso con la protección de la Ranita de Darwin,Ex-Ante,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.ex-ante.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.ex-ante.cl/mundo-publico-y-privado-reafirma-su-compromiso-con-la-proteccion-de-la-ranita-de-darwin/,https://www.ex-ante.cl/wp-content/uploads/2024/02/Arauco-768x431.jpg,https://news.google.com/api/attachments/CC8iK0NnNXJRV1YyVFhaWlp6bGtaemw2VFJDZkF4ampCU2dLTWdZQk1JeW9MUVU,"02/01/2024, 08:00 AM, +0000 UTC",2024-02-01T08:00:00Z
