position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Colibrí de Juan Fernández​ (Sephanoides fernandensis) ©Héctor Guitérrez,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/este-fin-de-semana-se-celebra-el-dia-de-la-fauna-chilena-disfruta-en-familia-de-todas-las-actividades-en-linea/hector-guiterrez-oikonos-2/,https://laderasur.com/wp-content/uploads/2020/10/hexxctor-guitexxrrez-oikonos-2.jpg,https://news.google.com/api/attachments/CC8iK0NnNDFiRm95UTJKeFFXY3piVzl3VFJERkF4aWxCU2dLTWdZbFZZak5wUVk,"10/09/2020, 07:00 AM, +0000 UTC",2020-10-09T07:00:00Z,
2,1000 Genomas: La iniciativa que busca elaborar el mapa de la biodiversidad chilena,Pontificia Universidad Católica de Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.uc.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.uc.cl/noticias/1000-genomas-la-iniciativa-que-busca-elaborar-el-mapa-de-la-biodiversidad-chilena/,https://www.uc.cl/site/assets/files/24817/huemul-francisco-gamboa.700x532.jpg,https://news.google.com/api/attachments/CC8iK0NnNXliMHhKYlVkUExWUnlRa3RHVFJEakF4ajdCQ2dLTWdhZEpvUXFuZ00,"09/12/2025, 07:00 AM, +0000 UTC",2025-09-12T07:00:00Z,
3,Parque Nacional Archipiélago de Juan Fernández celebra 87 años de vida,Radio Festival – La radio en colores de Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.radiofestival.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.radiofestival.cl/parque-nacional-archipielago-de-juan-fernandez-celebra-87-anos-de-vida/,https://www.radiofestival.cl/wp-content/uploads/2022/01/PNAJF-7-612x330.jpg,https://news.google.com/api/attachments/CC8iNkNnNVhWMEZ4ZFY5alRIWkxXVFZrVFJES0FoamtCQ2dLTWc0QjBZcEFPeVVtckxrRG9yNUdEUQ,"01/17/2022, 08:00 AM, +0000 UTC",2022-01-17T08:00:00Z,
4,Los temores de Juan Fernández: incendios forestales y las especies invasoras – Biodiversidad,Fundación Terram,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.terram.cl/biodiversidad/2018/05/07/los-temores-de-juan-fernandez-incendios-forestales-y-las-especies-invasoras/,https://www.terram.cl/biodiversidad/wp-content/uploads/sites/3/2018/05/Sephanoides_fernandensis.jpg,https://news.google.com/api/attachments/CC8iK0NnNXNSMnBUTmtoV1gzcHBNemd3VFJDZkF4ampCU2dLTWdZWkFJeUxvUVU,"05/07/2018, 07:00 AM, +0000 UTC",2018-05-07T07:00:00Z,
5,Erradicación de gatos asilvestrados en Juan Fernández: el plan del Gobierno que encendió las alarmas de los animalistas,La Tercera,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.latercera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.latercera.com/la-tercera-sabado/noticia/erradicacion-de-gatos-asilvestrados-en-juan-fernandez-el-plan-del-gobierno-que-encendio-las-alarmas-de-los-animalistas/VIBQO6WHRJCTXFXUAJK2CC6IB4/,https://www.latercera.com/resizer/v2/OEHXIOCYYFGI3PQWKRWFCR4APQ.jpg?auth=2232d6766a6b28d1ed64e8b421fa47650476ed4610285befb27c774a811b592d&width=1200&smart=true,https://news.google.com/api/attachments/CC8iK0NnNURabGhJVldoVVEza3RNRkZwVFJDWkF4anRCU2dLTWdZMVZKNXdJUWs,"08/19/2022, 07:00 AM, +0000 UTC",2022-08-19T07:00:00Z,Francisca Mayorga
6,Las aves de especies invasoras colaboran en la dispersión de parásitos,Sinc,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.agenciasinc.es&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.agenciasinc.es/Noticias/Las-aves-de-especies-invasoras-colaboran-en-la-dispersion-de-parasitos,https://cdn.agenciasinc.es/var/ezwebin_site/storage/images/_aliases/img_1col/noticias/las-aves-de-especies-invasoras-colaboran-en-la-dispersion-de-parasitos/3381285-1-esl-MX/Las-aves-de-especies-invasoras-colaboran-en-la-dispersion-de-parasitos.jpg,https://news.google.com/api/attachments/CC8iK0NnNUZjbUZKU0ZGQ2QwVmFVMHRVVFJEZ0F4aUFCU2dLTWdZcEE0SlBJUU0,"09/25/2014, 07:00 AM, +0000 UTC",2014-09-25T07:00:00Z,
7,"Albatros, pingüinos y picaflores: los centinelas que revelan la salud de islas y océanos",Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/albatros-pinguinos-y-picaflores-los-centinelas-que-revelan-la-salud-de-islas-y-oceanos-protagonizan-una-charla-en-el-festival-ladera-sur/,https://laderasur.com/wp-content/uploads/2025/11/webbb-e1764861668666-1024x441.jpg,https://news.google.com/api/attachments/CC8iL0NnNTZhMUZxYkVRd1dYQnNXak51VFJEckFoak1CaWdLTWdrRk1ZTGxJdWcxOGdB,"11/26/2025, 08:00 AM, +0000 UTC",2025-11-26T08:00:00Z,
8,La Isla Robinson Crusoe será el primer archipiélago libre de plástico en el Océano Pacífico,Clarin.com,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.clarin.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.clarin.com/viajes/fotogalerias-juan-fernandez-primer-archipielago-libre-plastico-oceano-pacifico_5_jC69KjVAF.html,https://www.clarin.com/images/2019/02/24/8RqUiLpde_1200x630__1.jpg,https://news.google.com/api/attachments/CC8iL0NnNVdkWGd5ZURkcE5VNTVhWFYxVFJDUkF4ajhCU2dLTWdrQnNJb0tPbVVXTWdF,"02/26/2019, 05:40 PM, +0000 UTC",2019-02-26T17:40:29Z,
9,Preparan nuevo plan para la conservación del picaflor de Juan Fernández,Radio Festival – La radio en colores de Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.radiofestival.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.radiofestival.cl/preparan-nuevo-plan-para-la-conservacion-del-picaflor-de-juan-fernandez/,https://www.radiofestival.cl/wp-content/uploads/2017/01/Picaflor-de-Juan-Fern%C3%A1ndez-660x330.jpg,https://news.google.com/api/attachments/CC8iK0NnNXBkbWQ0VG5KeVNsTm9Ua3RHVFJES0FoaVVCU2dLTWdZZFZZYk5LUVk,"01/23/2017, 08:00 AM, +0000 UTC",2017-01-23T08:00:00Z,
10,"Algunas aves toman el equivalente a un litro de cerveza a diario, ¿por qué lo hacen?",La Razón,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.larazon.es&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.larazon.es/ciencia/aves-toman-equivalente-litro-cerveza-diario_202306236495b8549d4a830001643d97.html,"https://fotografias-2.larazon.es/clipping/cmsimages02/2019/08/13/FBF150EB-D90E-47D2-9640-B88166D5753A/69.jpg?crop=507,285,x0,y47&width=1280&height=720&optimize=low&format=webply",https://news.google.com/api/attachments/CC8iK0NnNWFlV0ZzWkRoRlZVcG1jMjUyVFJDZkF4ampCU2dLTWdhZEFvSk9HUU0,"06/23/2023, 07:00 AM, +0000 UTC",2023-06-23T07:00:00Z,juan scaliter
