position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Bautizan nueva especie de caracol marino en honor a investigador chileno,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativaciencia.cl/tendencias/2026/04/02/bautizan-nueva-especie-de-caracol-marino-en-honor-a-investigador-chileno/,https://www.cooperativaciencia.cl/wp-content/uploads/2026/03/concha-exclusiva1-720x483.jpg,https://news.google.com/api/attachments/CC8iK0NnNUhabU42YVZocmNGZE5hMHR1VFJERkF4aWtCU2dLTWdZTmNvNEhzUVk,"04/02/2026, 07:44 PM, +0000 UTC",2026-04-02T19:44:28Z,
2,"Un científico guardó once caracoles en 1991 para evitar su desaparición. Tres décadas después, mil de ellos están regresando a los bosques de Hawái",Gizmodo en Español,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://es.gizmodo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://es.gizmodo.com/cientifico-guardo-once-caracoles-en-1991-para-evitar-su-desaparicion-tres-decadas-despues-mil-de-ellos-estan-regresando-a-los-bosques-hawai-2000224401,https://es.gizmodo.com/app/uploads/2026/03/Diseno-sin-titulo-89-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNXROemRUTjJwTWJ5MTBaVUZpVFJERUF4aW1CU2dLTWdhdHM0aHZSUVE,"04/04/2026, 06:57 PM, +0000 UTC",2026-04-04T18:57:06Z,Martin Nicolas Parolari
3,Un caracol de Bermudas se salva de la extinción con ayuda de un zoológico inglés,France 24,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.france24.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.france24.com/es/minuto-a-minuto/20260207-un-caracol-de-bermudas-se-salva-de-la-extinci%C3%B3n-con-ayuda-de-un-zool%C3%B3gico-ingl%C3%A9s,https://s.france24.com/media/display/30134ac0-044c-11f1-ace7-005056a97e36/w:1024/p:16x9/22f1f8c0844c24726f70247eaa0b6f2d2149ce1f.jpg,https://news.google.com/api/attachments/CC8iK0NnNXdjVjgxWVZGQ1JDMDFVMnhGVFJDZkF4ampCU2dLTWdZbEJJR04xUUk,"02/07/2026, 08:00 AM, +0000 UTC",2026-02-07T08:00:00Z,
4,Logro en la crisis de biodiversidad: un caracol volvió a los bosques de Hawái luego de más de 30 años,Infobae,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.infobae.com/america/ciencia-america/2026/03/04/logro-en-la-crisis-de-biodiversidad-un-caracol-volvio-a-los-bosques-de-hawai-luego-de-mas-de-30-anos/,https://www.infobae.com/resizer/v2/ZLDRV6NLRBERTI3IQCXR2IXA7E.jpg?auth=485c771c38edfbc2506d3d85f9dcb46c1eff52111c8cbc413afabae9bfa64baa&smart=true&width=1200&height=675&quality=85,https://news.google.com/api/attachments/CC8iK0NnNUNhRFo1WVZaaE9IaEZUVzVwVFJDZkF4ampCU2dLTWdhWk5Jak1zUVE,"03/04/2026, 08:00 AM, +0000 UTC",2026-03-04T08:00:00Z,
5,Un caracol en peligro de extinción puede frenar el nuevo parque eólico de EDP en la Costa da Morte,GaliciaPress,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.galiciapress.es&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.galiciapress.es/articulo/empresas/2026-03-22/5818067-alertan-proyecto-parque-eolico-costa-da-morte-afectara-especie-peligro-extincion,https://www.galiciapress.es/images/showid2/7133139?w=1200&zc=4,https://news.google.com/api/attachments/CC8iJ0NnNVRWV2hWZW5GSlNVWnNkVzh4VFJDZkF4amlCU2dLTWdNTllSWQ,"03/22/2026, 07:00 AM, +0000 UTC",2026-03-22T07:00:00Z,
6,¡Buenas noticias! Salvan de la extinción al caracol Partula Tohiveana,Quadratín Michoacán,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.quadratin.com.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.quadratin.com.mx/medio-ambiente/buenas-noticias-salvan-de-la-extincion-al-caracol-partula-tohiveana/,https://www.quadratin.com.mx/www/wp-content/uploads/2026/03/CARACOL.jpeg,https://news.google.com/api/attachments/CC8iL0NnNWtkMmMyVkhweWEyeDZOMmh1VFJDdUF4akpCU2dLTWdrQmxaYXV1U2J3S0FJ,"03/25/2026, 07:24 PM, +0000 UTC",2026-03-25T19:24:56Z,
7,"Armada intercepta lancha con 361 kilos de caracol pala, una especie protegida, en isla de Providencia",Zona Cero,"https://encrypted-tbn1.gstatic.com/faviconV2?url=http://zonacero.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",http://zonacero.com/generales/armada-intercepta-lancha-con-361-kilos-de-caracol-pala-una-especie-protegida-en-isla-de,http://zonacero.com/sites/default/files/styles/1280_x_530_noticia_interna/public/2026-03/Pesca_0.jpeg?h=44e0581b&itok=GIXddZ5_,https://news.google.com/api/attachments/CC8iMkNnNDJURkpOT1dwdVQxTTBTRmhFVFJEd0FoakNCaWdLTWdzTkFJWVBEU09MNDRwTlBB,"03/21/2026, 07:00 AM, +0000 UTC",2026-03-21T07:00:00Z,
8,Un científico salvó 11 caracoles en 1991 y hoy más de 1.000 están regresando al bosque,La Razón,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.larazon.es&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.larazon.es/ciencia/cientifico-salvo-11-caracoles-1991-hoy-mas-1000-estan-regresando-bosque_2026030569a96142e1ff634075d98925.html,"https://fotografias-2.larazon.es/clipping/cmsimages01/2026/03/05/004A0A91-7AF3-4526-9DB8-BA31278E37B8/reintroducen-especie-achatinella-fuscobasis-bosques-hawaii_98.jpg?crop=683,384,x0,y151&width=1900&height=1069&optimize=low&format=webply",https://news.google.com/api/attachments/CC8iK0NnNXNUMmRmWVhwVVUwOXdlV3Q2VFJDZkF4amlCU2dLTWdZMUE0cFFGUVk,"03/05/2026, 08:00 AM, +0000 UTC",2026-03-05T08:00:00Z,
9,La zoología mundial celebra un hito sin precedentes: reintroducen en la naturaleza un caracol tras 30 años ...,OkDiario,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://okdiario.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://okdiario.com/actualidad/zoologia-mundial-celebra-hito-sin-precedentes-reintroducen-naturaleza-caracol-30-anos-extinto-16080313,https://okdiario.com/img/2026/01/15/caracoles.jpg,https://news.google.com/api/attachments/CC8iK0NnNVpabk5MWDNnMGRVMVBVa1Y2VFJDZkF4amlCU2dLTWdhQkM0NmdCd2c,"01/22/2026, 08:00 AM, +0000 UTC",2026-01-22T08:00:00Z,Sofia Narvaez Balza
10,Peligrosa especie invasora resurge en Cuba mientras la crisis golpea: este es el daño que causa,El Nuevo Herald,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.elnuevoherald.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elnuevoherald.com/noticias/america-latina/cuba-es/article314999487.html,https://www.elnuevoherald.com/public/ultimas-noticias/yutfik/picture217843010/alternates/LANDSCAPE_1140/39458-fotografia-g.jpg,https://news.google.com/api/attachments/CC8iK0NnNU1RM0ZNWDBWRlozWkpkR0ptVFJDZkF4ampCU2dLTWdhQmNvNnRLUWM,"03/10/2026, 07:00 AM, +0000 UTC",2026-03-10T07:00:00Z,
