position,title,source/name,source/icon,source/authors/0,link,thumbnail,thumbnail_small,date,iso_date
1,La ranita descubierta por Charles Darwin en Chile busca salvarse de la extinción,EL PAÍS,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://elpais.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Maolis Castro,https://elpais.com/chile/2026-02-23/la-ranita-descubierta-por-charles-darwin-en-chile-busca-salvarse-de-la-extincion.html,https://imagenes.elpais.com/resizer/v2/4DTRZHZ3VBCNNP2CFVCCDRU4CE.JPG?auth=2224ae7b6a745406d5475720a7003952bdf892739e266c6980fb53bb7cd4604f&width=1960&height=1103&focal=2172%2C1439,https://news.google.com/api/attachments/CC8iK0NnNXpZMkprTmkxSFVuTkhjemd4VFJDZkF4amlCU2dLTWdZQkFJZ3FPUVU,"02/22/2026, 08:00 AM, +0000 UTC",2026-02-22T08:00:00Z
2,Descubren metapoblación de ranita de Darwin en Villarrica,Pontificia Universidad Católica de Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.uc.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.uc.cl/noticias/descubren-meta-poblacion-de-ranita-de-darwin-en-villarrica/,https://www.uc.cl/site/assets/files/24756/atorio_al_5.700x532.jpg,https://news.google.com/api/attachments/CC8iK0NnNHhWRXB1T0djME1VWkNSM0ExVFJEakF4ajdCQ2dLTWdZQlVJZ21NUVU,"09/11/2025, 07:00 AM, +0000 UTC",2025-09-11T07:00:00Z
3,¡Me encontré una ranita de Darwin!... ¿Qué hago?,elobservatodo.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.elobservatodo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.elobservatodo.cl/noticia/sociedad/me-encontre-una-ranita-de-darwin-que-hago,https://cdn.elobservatodo.cl/sites/elobservatodo.cl/files/imagecache/380x285/imagen_noticia/me_encontre_una_ranita_de_darwin.png,https://news.google.com/api/attachments/CC8iK0NnNVFiRnBWU1VkU2VIWTVhWGN6VFJDOUFSaUtBaWdCTWdZUnBJcXJ1UVU,"04/14/2026, 08:43 AM, +0000 UTC",2026-04-14T08:43:41Z
4,Hongo letal amenaza la supervivencia de la ranita de Darwin,Noticias UNAB,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://noticias.unab.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://noticias.unab.cl/investigacion-con-sello-unab-revela-como-un-hongo-letal-amenaza-la-supervivencia-de-la-ranita-de-darwin/,https://noticias.unab.cl/assets/uploads/2026/01/Portada-Nature-Ecology-_-Evolution.jpg,https://news.google.com/api/attachments/CC8iK0NnNXBVVzk0YVRjMFIydGZZVlZqVFJESUJCaTRBeWdLTWdhUkk0YXRQUVU,"01/22/2026, 08:00 AM, +0000 UTC",2026-01-22T08:00:00Z
5,Ranita de Darwin: La increíble historia de su viaje a Londres para salvarlas de la extinción,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativaciencia.cl/radiociencia/2026/03/20/ranita-de-darwin-la-increible-historia-de-su-viaje-a-londres-para-salvarlas-de-una-epidemia-en-2024/,https://www.cooperativaciencia.cl/wp-content/uploads/2026/03/Foto-2-c-ZSL-London-Zoo-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNHpSVE13V0RWRGVuaExkRGxEVFJDZkF4ampCU2dLTWdZQnBJeU92UVU,"03/20/2026, 07:00 AM, +0000 UTC",2026-03-20T07:00:00Z
6,Dilucidan cómo una enfermedad está extinguiendo a la ranita de Darwin: ya mató a su especie hermana,BioBioChile,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.biobiochile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Ignacio Hermosilla Portales,https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/08/dilucidan-como-una-enfermedad-esta-extinguiendo-a-la-ranita-de-darwin-ya-mato-a-su-especie-hermana.shtml,https://media.biobiochile.cl/wp-content/uploads/2026/01/ranita-de-darwin.jpg,https://news.google.com/api/attachments/CC8iK0NnNDVUbEl6ZW5OdWVWWm9jMlE0VFJDU0F4ajdCU2dLTWdZZGNJaXNNUWM,"01/08/2026, 08:00 AM, +0000 UTC",2026-01-08T08:00:00Z
7,Descubren nueva población de ranita de Darwin en zona amenazada por construcción de carretera eléctrica en Chiloé,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",María del Mar Parra,https://eldesconcierto.cl/2026/02/21/descubren-nueva-poblacion-de-ranita-de-darwin-en-zona-amenazada-por-construccion-de-carretera-electrica-en-chiloe,https://media.eldesconcierto.cl/p/a59bb2776418be43f738b574da2567db/adjuntos/378/imagenes/100/000/0100000268/1200x675/smart/30290-ranita-darwinwebp.webp,https://news.google.com/api/attachments/CC8iK0NnNVZUREJOY0VOU1ZWcE1RV1JmVFJDZkF4ampCU2dLTWdhWm80aU9OUVk,"02/21/2026, 08:00 AM, +0000 UTC",2026-02-21T08:00:00Z
8,Revelan cómo el hongo quítrido se propaga y empuja a la ranita de Darwin a la extinción en Chile,El Mostrador,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2026/01/09/revelan-como-el-hongo-quitrido-se-propaga-y-empuja-a-la-ranita-de-darwin-a-la-extincion-en-chile/,https://media-front.elmostrador.cl/2026/01/Editar-imagenes-9-1-700x350.png,https://news.google.com/api/attachments/CC8iJ0NnNVRNR2RmZVVaU2FuTldaVkYwVFJEZUFoaThCU2dLTWdNQkJRWQ,"01/09/2026, 08:00 AM, +0000 UTC",2026-01-09T08:00:00Z
9,Científico chileno lidera estudio clave sobre la extinción de la ranita de Darwin,24horas,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.24horas.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.24horas.cl/conciencia-24-7/ciencia/cientifico-chileno-estudio-extincion-ranita-darwin,https://www.24horas.cl/24horas/site/artic/20260102/imag/foto_0000000420260102121202/Andres-Valenzuela-Ranita-Darwin.jpg,https://news.google.com/api/attachments/CC8iK0NnNDFUa1pyTkZSdFUxUm9SREp6VFJDb0FSaXNBaWdCTWdZdEZvVE5GUW8,"01/02/2026, 08:00 AM, +0000 UTC",2026-01-02T08:00:00Z
10,Alianza internacional en Huilo Huilo busca proteger a la Ranita de Darwin de hongo letal,Cooperativa.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cooperativa.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativa.cl/noticias/sociedad/fauna/alianza-internacional-en-huilo-huilo-busca-proteger-a-la-ranita-de/2026-02-06/124716.html,https://www.cooperativa.cl/noticias/site/artic/20260206/imag/foto_0000000120260206124716.jpg,https://news.google.com/api/attachments/CC8iK0NnNWlVVlF6TUZVNWVYUkhUbWQ0VFJEZ0F4al9CQ2dLTWdZcEVZeHVMUVU,"02/06/2026, 08:00 AM, +0000 UTC",2026-02-06T08:00:00Z
