position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Pancora de río hallada muerta en río Mapocho ©Joaquín Moure / Mapocho Vivo,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/la-resiliente-biodiversidad-del-rio-mapocho-varias-caras-de-una-naturaleza-que-resiste-el-impacto-de-la-ciudad/pancora-de-rio-hallada-muerta-en-rio-mapocho-joaquin-moure-mapocho-vivo/,https://laderasur.com/wp-content/uploads/2021/06/pancora-de-rio-hallada-muerta-en-rio-mapocho-cjoaquin-moure-xxx-mapocho-vivo.jpg,https://news.google.com/api/attachments/CC8iK0NnNUZOV3RsVUUxT1JUYzJNR2RVVFJERUF4aW5CU2dLTWdZTmc0eXJQUVU,"06/11/2021, 07:00 AM, +0000 UTC",2021-06-11T07:00:00Z,
2,Estas son las especies que están en Peligro Crítico de Extinción en Chile,Canal 13,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.13.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.13.cl/c/programas/espacio-13c/estas-son-las-especies-que-estan-en-peligro-critico-de-extincion-en-chile,https://s.13.cl/sites/default/files/styles/manualcrop_850x475/public/13c/articulos/field-imagen/2023-10/peligro%20extinci%C3%B3n%20especies1.jpg.jpeg?itok=4yqg1Rtr,https://news.google.com/api/attachments/CC8iL0NnNXhhV0pOYWxGV05WWlhiek4xVFJDZkF4amlCU2dLTWdrQklJNUZzbVVlaFFJ,"10/13/2023, 07:00 AM, +0000 UTC",2023-10-13T07:00:00Z,
3,Científica local halla nuevo parásito que reside en cangrejo de agua dulce,Diario Concepción,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diarioconcepcion.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diarioconcepcion.cl/ciencia-y-sociedad/2023/11/04/cientifica-local-halla-nuevo-parasito-que-reside-en-cangrejo-de-agua-dulce.html,https://assets.diarioconcepcion.cl/2023/11/segunda-p%C3%A1gina-850x400.jpg,https://news.google.com/api/attachments/CC8iL0NnNW9kRE0yY0dSbE4wMUZjV0ZwVFJEOEFoaW5CaWdLTWdrQklJYm9QV1FtQlFN,"11/04/2023, 07:00 AM, +0000 UTC",2023-11-04T07:00:00Z,
4,Acceso limitado a las playas de O'Higgins: Reportaje muestra la lucha de los vecinos por el libre paso,El Tipógrafo,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://eltipografo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eltipografo.cl/2025/01/acceso-limitado-a-las-playas-de-ohiggins-reportaje-muestra-la-lucha-de-los-vecinos-por-el-libre-paso,https://s3.us-east-2.amazonaws.com/img2.eltipografo.cl/media/2025/01/playa-las-cruces.jpg,https://news.google.com/api/attachments/CC8iJ0NnNXdiMmg2VEV0cFl5MXJZVWRtVFJEZ0F4aUFCU2dLTWdNOTRBZw,"01/31/2025, 08:00 AM, +0000 UTC",2025-01-31T08:00:00Z,
5,"Condominio Pancora, Pichilemu",Agenda Musical -,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.agendamusical.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.agendamusical.cl/event-location/condominio-pancora-pichilemu/,https://www.agendamusical.cl/wp-content/uploads/2026/03/30A3089-scaled.jpeg,https://news.google.com/api/attachments/CC8iL0NnNTRZelE0UkRaVVQyMXdVRWR1VFJEckJCanZBeWdLTWdrSllJcEpvbWhGRWdF,"07/07/2023, 04:43 PM, +0000 UTC",2023-07-07T16:43:27Z,
6,"‘Pancora’ Velázquez: “No voy pensando en ser un número más, sino en fulmina”r a Mercado",BoxeoMundial,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://boxeomundial.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://boxeomundial.com/pancora-velazquez-no-voy-pensando-en-ser-un-numero-mas-sino-en-fulminar-a-mercado/,https://s3.us-west-1.amazonaws.com/boxeomundial.com/wp-content/uploads/2024/10/09170721/Jose-Luis-Pancora-Velazquez.jpg,https://news.google.com/api/attachments/CC8iK0NnNU1UalJ0Y1RkMFpuQjJTVmN5VFJEd0JCanJBeWdLTWdhbEZZanRsUW8,"10/10/2024, 12:08 AM, +0000 UTC",2024-10-10T00:08:30Z,
7,Surfestival en Pichilemu,El Mostrador,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elmostrador.cl/cultura/agenda/2024/01/24/surfestival-en-pichilemu/,https://media-front.elmostrador.cl/2024/01/Surfestival-7-700x347.jpg,https://news.google.com/api/attachments/CC8iL0NnNURWMDlSTFZaNVRYZERjMFZRVFJEYkFoaThCU2dLTWdrSkVJUnBTR010MEFF,"01/24/2024, 08:00 AM, +0000 UTC",2024-01-24T08:00:00Z,
8,Surfestival celebra 20 años con dos ediciones en Pichilemu y Coquimbo,La Cuarta,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.lacuarta.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.lacuarta.com/espectaculos/noticia/surfestival-celebra-20-anos-con-dos-ediciones-en-pichilemu-y-coquimbo/,https://www.lacuarta.com/resizer/v2/A3BPIJVXNZG5FCT6DRGH7LH4UA.png?auth=c3887ae7399617b5e54d67797e535d87ac234b27d62b8c63edd88125549bd493&width=1200&smart=true,https://news.google.com/api/attachments/CC8iK0NnNUJRMXBIV2pJMGNscGtSazExVFJDaEF4amZCU2dLTWdhSk1ZaHBKUVE,"11/03/2025, 08:00 AM, +0000 UTC",2025-11-03T08:00:00Z,Paulo Quinteros Jara
9,"Surfestival Pichilemu: Horarios, accesos y datos clave para la celebración de los 20 años",lahora.cl,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://lahora.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://lahora.cl/entretencion/2026/02/09/surfestival-pichilemu-horarios-accesos-y-datos-clave-para-la-celebracion-de-los-20-anos/,https://img.lahora.cl/upload/2026/02/17161D524C43466D151F0F55524941721F131B18534146731C14-1200x800.webp,https://news.google.com/api/attachments/CC8iMkNnNURabVl6UjBOR1NUSldjMGhmVFJERUF4aW1CU2dLTWdzQmdJeUFPR1l0VkFreW13,"02/09/2026, 08:00 AM, +0000 UTC",2026-02-09T08:00:00Z,Nacho Peña
10,"Vuelve el Surfestival 2024 con Steel Pulse, Trueno, Alborosie y más: Line up, fecha y precios",elrancahuaso.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.elrancahuaso.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elrancahuaso.cl/noticia/sociedad/vuelve-el-surfestival-2024-con-steel-pulse-trueno-alborosie-y-mas-line-fecha-y-prec,https://cdn.elrancahuaso.cl/sites/elrancahuaso.cl/files/imagecache/380x285/imagen_noticia/4esa3_surfestival_2024.png,https://news.google.com/api/attachments/CC8iK0NnNVpPRUU0ZWpCR09HZEJkV1psVFJDZEFoaVFBeWdLTWdZQlFKcVhJQWs,"12/19/2023, 08:00 AM, +0000 UTC",2023-12-19T08:00:00Z,
