REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Arica y Parinacota (XV);Picaflor de Arica, estrellita chilena;Eulidia yarrellii;Animalia;Aves;Sí;CR
Arica y Parinacota (XV);Karachi;Orestias piacotensis;Animalia;Actinopterygii;Sí;CR
Tarapaca (I);Picaflor de Arica, estrellita chilena;Eulidia yarrellii;Animalia;Aves;Sí;CR
Tarapaca (I);Pez (genérico);Pseudorestias lirimensis;Animalia;Actinopterygii;Sí;CR
Tarapaca (I);Sapo;Telmatobius chusmisensis;Animalia;Amphibia;Sí;CR
Antofagasta (II);Caracol de agua dulce;Biomphalaria costata;Animalia;Gastropoda;Sí;CR
Antofagasta (II);Escorpión de Philippi;Brachistosternus philippii;Animalia;Arachnida;Sí;CR
Antofagasta (II);Caracol de Paposo;Chilina angusta;Animalia;Gasotropoda;Sí;CR
Antofagasta (II);Balita de Barriga, bupréstido de Barriga;Ectinogonia barrigai;Animalia;Insecta;Sí;CR
Antofagasta (II);Tenebrio de Wilson, teatino de Wilson;Entomochilus wilsoni;Animalia;Insecta;Sí;CR
Antofagasta (II);Araña pollito, tarántula;Euathlus antai;Animalia;Arachnida;Sí;CR
Antofagasta (II);Araña pollito, tarántula;Euathlus atacama;Animalia;Arachnida;Sí;CR
Antofagasta (II);Caracol;Heleobia atacamensis;Animalia;Gastropoda;Sí;CR
Antofagasta (II);Caracol;Heleobia transitoria;Animalia;Gastropoda;Sí;CR
Antofagasta (II);Tenebrio de Peña, teatino de Peña;Nycterinus penai;Animalia;Insecta;Sí;CR
Antofagasta (II);Pez (genérico);Orestias gloriae;Animalia;Actinopterygii;Sí;CR
Antofagasta (II);Sapo de Danko;Telmatobius dankoi;Animalia;Amphibia;Sí;CR
Antofagasta (II);Sapo ;Telmatobius fronteriensis;Animalia;Amphibia;Sí;CR
Antofagasta (II);Sapo ;Telmatobius halli;Animalia;Amphibia;Sí;CR
Antofagasta (II);Rana de Vilama;Telmatobius vilamensis;Animalia;Amphibia;Sí;CR
Atacama (III);Tenebrio de Wilson, teatino de Wilson;Entomochilus wilsoni;Animalia;Insecta;Sí;CR
Atacama (III);;Praocis medvedevi;Animalia;Insecta;Sí;CR
Coquimbo (IV);Piñacha, pancora, pancora de Papudo;Aegla papudo ;Animalia;Malacostraca;Sí;CR
Coquimbo (IV);;Cnemalobus pegnai;Animalia;Insecta;Sí;CR
Coquimbo (IV);Lagartija;Liolaemus melaniceps;Animalia;Reptilia;Sí;CR
Valparaíso continental (V);Piñacha, pancora, pancora de Papudo;Aegla papudo ;Animalia;Malacostraca;Sí;CR
Valparaíso continental (V);Sierra del Orocoipo;Callisphyris ficheti;Animalia;Insecta;Sí;CR
Valparaíso continental (V);Tarántula enana, araña pollito;Euathlus parvulus;Animalia;Arachnida;Sí;CR
Valparaíso continental (V);Matuasto de Alicahue;Phymaturus alicahuense;Animalia;Reptilia;Sí;CR
Valparaíso continental (V);Lagarto gruñidor de Álvaro;Pristidactylus alvaroi;Animalia;Reptilia;Sí;CR
Metropolitana (RM);Piñacha, pancora, pancora de Papudo;Aegla papudo ;Animalia;Malacostraca;Sí;CR
Metropolitana (RM);Sapo de pecho espinoso de Potrero;Alsodes laevis;Animalia;Amphibia;Sí;CR
Metropolitana (RM);Araña pollito, tarántula;Euathlus condorito;Animalia;Arachnida;Sí;CR
Metropolitana (RM);Escama  gigante de palma chilena;Palmaspis jubae;Animalia;Insecta;Sí;CR
Metropolitana (RM);Lagarto gruñidor de Álvaro;Pristidactylus alvaroi;Animalia;Reptilia;Sí;CR
O'Higgins (VI);Cascarudo híbrido o cascarudo del Poqui;Callyntra hibrida;Animalia;Insecta;Sí;CR
O'Higgins (VI);Lagartija de Lolol;Liolaemus confusus;Animalia;Reptilia;Sí;CR
O'Higgins (VI);Lagarto negro;Liolaemus curis;Animalia;Reptilia;Sí;CR
O'Higgins (VI);Lagarto leopardo de Norma, lagarto de los cristales;Liolaemus normae;Animalia;Reptilia;Sí;CR
O'Higgins (VI);Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;CR
O'Higgins (VI);Borrachito;Sclerostomulus nitidus;Animalia;Insecta;Sí;CR
Maule (VII);Lagarto negro;Liolaemus curis;Animalia;Reptilia;Sí;CR
Maule (VII);;Nigroperla costalis;Animalia;Insecta;Sí;CR
Maule (VII);Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;CR
Ñuble (XVI);;Nigroperla costalis;Animalia;Insecta;Sí;CR
Ñuble  (XVI);Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;CR
Bío-Bío (VIII);Araña (genérico);Acanthogonatus hualpen;Animalia;Arachnida;Sí;CR
Bío-Bío (VIII);Sapo de pecho espinoso de Malleco;Alsodes vittatus;Animalia;Amphibia;Sí;CR
Bío-Bío (VIII);Caracol de concha piramidal;Chellius piramidalis;Animalia;Gastropoda;Sí;CR
