NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;DISTRIBUCIÓN REGIONES;Arica y Parinacota;Tarapaca;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'Higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Insular;Antártica;Isla de Pascua;Salas y Gómez;Juan Fernández;Desventuradas;CATEGORÍA VIGENTE
Araña (genérico);Acanthogonatus hualpen;Animalia;Arachnida;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Pancora;Aegla denticulata;Animalia;Malacostraca;Sí;IX-X;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;CR
Piñacha, pancora, pancora de Papudo;Aegla papudo ;Animalia;Malacostraca;Sí;IV-RM;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Sapo de pecho espinoso de Potrero;Alsodes laevis;Animalia;Amphibia;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Rana de pecho espinoso de Oncol;Alsodes norae;Animalia;Amphibia;Sí;XIV;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;CR
Sapo de pecho espinoso de Malleco;Alsodes vittatus;Animalia;Amphibia;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Caracol;Ambrosiella kuscheli;Animalia;Gastropoda;Sí;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR
Seudoescorpión;Anaperochernes ambrosianus;Animalia;Arachnida;Sí;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR
Rayadito de Más Afuera;Aphrastura masafuerae;Animalia;Aves;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Caracol de agua dulce;Biomphalaria costata;Animalia;Gastropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Escorpión de Philippi;Brachistosternus philippii;Animalia;Arachnida;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Sierra del Orocoipo;Callisphyris ficheti;Animalia;Insecta;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Cascarudo híbrido o cascarudo del Poqui;Callyntra hibrida;Animalia;Insecta;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Seudoescorpión;Chelanops pugil;Animalia;Arachnida;Sí;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR
Caracol de concha piramidal;Chellius piramidalis;Animalia;Gastropoda;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Cantárida, ciervo volante peludo;Chiasognathus jousselini;Animalia;Insecta;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Caracol de Paposo;Chilina angusta;Animalia;Gasotropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
;Cnemalobus pegnai;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Balita de Barriga, bupréstido de Barriga;Ectinogonia barrigai;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Tenebrio de Wilson, teatino de Wilson;Entomochilus wilsoni;Animalia;Insecta;Sí;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Araña pollito, tarántula;Euathlus antai;Animalia;Arachnida;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Araña pollito, tarántula;Euathlus atacama;Animalia;Arachnida;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Araña pollito, tarántula;Euathlus condorito;Animalia;Arachnida;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Tarántula enana, araña pollito;Euathlus parvulus;Animalia;Arachnida;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Picaflor de Arica, estrellita chilena;Eulidia yarrellii;Animalia;Aves;Sí;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Aguilucho de Más Afuera, aguilucho de Juan Fernández, blindado;Geranoaetus polyosoma exsul;Animalia;Aves;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Caracol;Heleobia atacamensis;Animalia;Gastropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Caracol;Heleobia transitoria;Animalia;Gastropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagartija de Lolol;Liolaemus confusus;Animalia;Reptilia;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagarto negro;Liolaemus curis;Animalia;Reptilia;Sí;VI-VII;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagartija de Herman Núñez;Liolaemus hermannunezi;Animalia;Reptilia;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Lagartija;Liolaemus melaniceps;Animalia;Reptilia;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagarto leopardo de Norma, lagarto de los cristales;Liolaemus normae;Animalia;Reptilia;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
;Nigroperla costalis;Animalia;Insecta;Sí;VII-IX;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;CR
Tenebrio de Peña, teatino de Peña;Nycterinus penai;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Caracol terrestre Omalonyx;Omalonyx gayana;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Pez (genérico);Orestias gloriae;Animalia;Actinopterygii;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Karachi;Orestias piacotensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Escama  gigante de palma chilena;Palmaspis jubae;Animalia;Insecta;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
;Paraholopterus nahuelbutensis;Animalia;Insecta;Sí;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;CR
Matuasto de Alicahue;Phymaturus alicahuense;Animalia;Reptilia;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Matuasto del Laja, matuasto vociferador;Phymaturus vociferator;Animalia;Reptilia;Sí;XVI?, VIII;0;0;0;0;0;0;0;0;0;sd;1;0;0;0;0;0;0;0;0;0;0;CR
Caracol costilludo de Hualpén;Pichikadi hualpensis;Animalia;Gastropoda;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
;Praocis medvedevi;Animalia;Insecta;Sí;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagarto gruñidor de Álvaro;Pristidactylus alvaroi;Animalia;Reptilia;Sí;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Pez (genérico);Pseudorestias lirimensis;Animalia;Actinopterygii;Sí;I;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Caracol terrestre Punctum;Punctum conicum;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Caracol terrestre Punctum;Punctum depressum;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;VI-VIII;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;CR
Borrachito;Sclerostomulus nitidus;Animalia;Insecta;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Picaflor de Juan Fernández;Sephanoides fernandensis;Animalia;Aves;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Mosco de Juan Fernández, mosco de rostro dorado;Sterphus aurifrons;Animalia;Insecta;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
