REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Arica y Parinacota (XV);Picaflor de Arica, estrellita chilena;Eulidia yarrellii;Animalia;Aves;Sí;CR
Arica y Parinacota (XV);Karachi;Orestias piacotensis;Animalia;Actinopterygii;Sí;CR
Arica y Parinacota (XV);Pejerrey;Basilichthys semotilus;Animalia;Actinopterygii;Sí;EN
Arica y Parinacota (XV);Karachi, orestias;Orestias chungarensis;Animalia;Actinopterygii;Sí;EN
Arica y Parinacota (XV);Karachi, orestias;Orestias laucaensis;Animalia;Actinopterygii;Sí;EN
Arica y Parinacota (XV);Karachi, orestias;Orestias parinacotensis;Animalia;Actinopterygii;Sí;EN
Arica y Parinacota (XV);Sapo de Pefaur;Telmatobius pefauri;Animalia;Amphibia;Sí;EN-RARA
Arica y Parinacota (XV);Sapo de Zapahuira;Telmatobius zapahuirensis;Animalia;Amphibia;Sí;EN-RARA
Arica y Parinacota (XV);Bagrecito;Trichomycterus chungaraensis;Animalia;Actinopterygii;Sí;EN-RARA
Arica y Parinacota (XV);Bagrecito;Trichomycterus laucaensis;Animalia;Actinopterygii;Sí;EN
Arica y Parinacota (XV);Bagrecito;Trichomycterus rivulatus;Animalia;Actinopterygii;Sí;EN-RARA
Tarapaca (I);Picaflor de Arica, estrellita chilena;Eulidia yarrellii;Animalia;Aves;Sí;CR
Tarapaca (I);Pez (genérico);Pseudorestias lirimensis;Animalia;Actinopterygii;Sí;CR
Tarapaca (I);Sapo;Telmatobius chusmisensis;Animalia;Amphibia;Sí;CR
Tarapaca (I);Pejerrey;Basilichthys semotilus;Animalia;Actinopterygii;Sí;EN
Tarapaca (I);Cucaracho negro;Nycterinus borealis;Animalia;Insecta;Sí;EN
Tarapaca (I);;Scotobius planicosta;Animalia;Insecta;Sí;EN
Tarapaca (I);Bagrecito;Trichomycterus rivulatus;Animalia;Actinopterygii;Sí;EN-RARA
Antofagasta (II);Caracol de agua dulce;Biomphalaria costata;Animalia;Gastropoda;Sí;CR
Antofagasta (II);Escorpión de Philippi;Brachistosternus philippii;Animalia;Arachnida;Sí;CR
Antofagasta (II);Caracol de Paposo;Chilina angusta;Animalia;Gasotropoda;Sí;CR
Antofagasta (II);Balita de Barriga, bupréstido de Barriga;Ectinogonia barrigai;Animalia;Insecta;Sí;CR
Antofagasta (II);Tenebrio de Wilson, teatino de Wilson;Entomochilus wilsoni;Animalia;Insecta;Sí;CR
Antofagasta (II);Araña pollito, tarántula;Euathlus antai;Animalia;Arachnida;Sí;CR
Antofagasta (II);Araña pollito, tarántula;Euathlus atacama;Animalia;Arachnida;Sí;CR
Antofagasta (II);Caracol;Heleobia atacamensis;Animalia;Gastropoda;Sí;CR
Antofagasta (II);Caracol;Heleobia transitoria;Animalia;Gastropoda;Sí;CR
Antofagasta (II);Tenebrio de Peña, teatino de Peña;Nycterinus penai;Animalia;Insecta;Sí;CR
Antofagasta (II);Pez (genérico);Orestias gloriae;Animalia;Actinopterygii;Sí;CR
Antofagasta (II);Sapo de Danko;Telmatobius dankoi;Animalia;Amphibia;Sí;CR
Antofagasta (II);Sapo ;Telmatobius fronteriensis;Animalia;Amphibia;Sí;CR
Antofagasta (II);Sapo ;Telmatobius halli;Animalia;Amphibia;Sí;CR
Antofagasta (II);Rana de Vilama;Telmatobius vilamensis;Animalia;Amphibia;Sí;CR
Antofagasta (II);Pejerrey;Basilichthys semotilus;Animalia;Actinopterygii;Sí;EN
Antofagasta (II);Chinchilla costina;Chinchilla lanigera;Animalia;Mammalia;Sí;EN
Antofagasta (II);"Langosta de alas cortas; langosta de Ureta; langosta de Lila; langosta de La Chimba
";Enodisomacris curtipennis;Animalia;Insecta;Sí;EN
Antofagasta (II);Vaquita del desierto de Paposo;Gyriosomus angustus;Animalia;Insecta;Sí;EN
Antofagasta (II);Caracol;Heleobia ascotanensis;Animalia;Gastropoda;Sí;EN
Antofagasta (II);Lagartija de Fabián;Liolaemus fabiani;Animalia;Reptilia;Sí;EN
Antofagasta (II);Lagartija de Fox;Liolaemus foxi;Animalia;Reptilia;Sí;EN
Antofagasta (II);Pololo de Paposo;Luispenaia paposo;Animalia;Insecta;Sí;EN
Antofagasta (II);Insecto joya;Nycterinus angusticollis;Animalia;Insecta;Sí;EN
Antofagasta (II);Cucaracho negro;Nycterinus borealis;Animalia;Insecta;Sí;EN
Antofagasta (II);Karachi, orestias;Orestias ascotanensis;Animalia;Actinopterygii;Sí;EN
Antofagasta (II);;Scotobius planicosta;Animalia;Insecta;Sí;EN
Antofagasta (II);Sapo de Philippi;Telmatobius philippii;Animalia;Amphibia;Sí;EN
Antofagasta (II);Langosta de Ureta, langosta de Lila, langosta de La Chimba;Uretacris lilai;Animalia;Insecta;Sí;EN
Atacama (III);Tenebrio de Wilson, teatino de Wilson;Entomochilus wilsoni;Animalia;Insecta;Sí;CR
