NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;DISTRIBUCIÓN REGIONES;Arica y Parinacota;Tarapaca;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'Higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Insular;Antártica;Isla de Pascua;Salas y Gómez;Juan Fernández;Desventuradas;CATEGORÍA VIGENTE
;Acalodegma vidali;Animalia;Insecta;Sí;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Araña (genérico);Acanthogonatus hualpen;Animalia;Arachnida;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Pancora;Aegla bahamondei;Animalia;Malacostraca;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN
Pancora;Aegla concepcionensis;Animalia;Malacostraca;Sí;VIII;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;EN
Pancora;Aegla denticulata;Animalia;Malacostraca;Sí;IX-X;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;CR
Pancora;Aegla expansa;Animalia;Malacostraca;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN
Pancora;Aegla laevis;Animalia;Malacostraca;Sí;V-VIII;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;EN
Pancora;Aegla occidentalis;Animalia;Malacostraca;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN
Pancora;Aegla papudo;Animalia;Malacostraca;Sí;IV-RM;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Piñacha, pancora, pancora de Papudo;Aegla papudo ;Animalia;Malacostraca;Sí;IV-RM;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Mosca florícola de Juan Fernández;Allograpta robinsoniana;Animalia;Insecta;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Sapo de Barros;Alsodes barrioi;Animalia;Amphibia;Sí;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;EN-RARA
Sapo;Alsodes cantillanensis;Animalia;Amphibia;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Sapo de pecho espinoso de Potrero;Alsodes laevis;Animalia;Amphibia;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Sapo de monte;Alsodes montanus;Animalia;Amphibia;Sí;RM-VI;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Rana de pecho espinoso de Oncol;Alsodes norae;Animalia;Amphibia;Sí;XIV;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;CR
Sapo;Alsodes tumultuosus;Animalia;Amphibia;Sí;RM-VI;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Rana de pecho espinoso de Cordillera Pelada;Alsodes valdiviensis;Animalia;Amphibia;Sí;XIV;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;EN
Sapo de Vanzolini;Alsodes vanzolinii;Animalia;Amphibia;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Sapo de pecho espinoso de Malleco;Alsodes vittatus;Animalia;Amphibia;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Típula pintada;Alyma quiriquinaensis;Animalia;Insecta;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN
Caracol;Ambrosiella kuscheli;Animalia;Gastropoda;Sí;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR
Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;VIII-X;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;EN
Caracol terrestre Amphidoxa;Amphidoxa arctispira;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Amphidoxa;Amphidoxa ceroides;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Amphidoxa;Amphidoxa helicophantoides;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Amphidoxa;Amphidoxa marmorella;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Amphidoxa;Amphidoxa pusio;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Amphidoxa;Amphidoxa quadrata;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Amphidoxa;Amphidoxa selkirki;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Amphidoxa;Amphidoxa tessellata;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Cachudito de Juan Fernández ;Anairetes fernandezianus;Animalia;Aves;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-RARA
Seudoescorpión;Anaperochernes ambrosianus;Animalia;Arachnida;Sí;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR
Rayadito de Más Afuera;Aphrastura masafuerae;Animalia;Aves;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;VIII-XII;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;EN
Mancapollo, pica pollo, borracho, borrachito, buey;Apterodorcus tristis;Animalia;Insecta;Sí;RM-VI;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Pejerrey;Basilichthys semotilus;Animalia;Actinopterygii;Sí;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Caracol de agua dulce;Biomphalaria costata;Animalia;Gastropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Escarabajo;Bolborhinum trilobulicorne;Animalia;Insecta;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
Escorpión de Cepeda;Brachistosternus cepedai;Animalia;Arachnida;Sí;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Escorpión de Philippi;Brachistosternus philippii;Animalia;Arachnida;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Bagrecito;Bullockia maldonadoi;Animalia;Actinopterygii;Sí;VIII-IX;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;EN
Sierra del Orocoipo;Callisphyris ficheti;Animalia;Insecta;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Cascarudo de Cantillana;Callyntra cantillana;Animalia;Insecta;Sí;RM-VI;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Cascarudo híbrido o cascarudo del Poqui;Callyntra hibrida;Animalia;Insecta;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Cascarudo de Las Docas;Callyntra multicosta;Animalia;Insecta;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Cascarudo de Peña;Callyntra penai;Animalia;Insecta;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Cascarudo de la Plata;Callyntra planiuscula;Animalia;Insecta;Sí;VII-XVI;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;EN
Caracol terrestre Charopa;Charopa involuta;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Charopa;Charopa masafuerae;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Pocha;Cheirodon kiliani;Animalia;Actinopterygii;Sí;VIII, IX?, XIV;0;0;0;0;0;0;0;0;0;0;1;sd;1;0;0;0;0;0;0;0;0;EN-RARA
Seudoescorpión;Chelanops pugil;Animalia;Arachnida;Sí;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR
Caracol de concha piramidal;Chellius piramidalis;Animalia;Gastropoda;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Cantárida, ciervo volante peludo;Chiasognathus jousselini;Animalia;Insecta;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Chanchito blanco de la araucaria;Chileputo chilensis;Animalia;Insecta;Sí;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;EN 
Caracol de Paposo;Chilina angusta;Animalia;Gasotropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Chinchilla costina;Chinchilla lanigera;Animalia;Mammalia;Sí;II-IV;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
;Cnemalobus hirsutus;Animalia;Insecta;Sí;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
;Cnemalobus nuria;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
;Cnemalobus pegnai;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Balita, insecto joya de Fisher;Conognatha azarae fisheri;Animalia;Insecta;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Balita, insecto joya de Leech;Conognatha leechi;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Tollo;Diplomystes camposensis;Animalia;Actinopterygii;Sí;IX-XIV;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;EN
Tollo de agua dulce;Diplomystes chilensis;Animalia;Actinopterygii;Sí;V-VI ;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Tollo ;Diplomystes nahuelbutaensis;Animalia;Actinopterygii;Sí;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;EN
Balita de Barriga, bupréstido de Barriga;Ectinogonia barrigai;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
"Langosta de alas cortas; langosta de Ureta; langosta de Lila; langosta de La Chimba
";Enodisomacris curtipennis;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Tenebrio de Wilson, teatino de Wilson;Entomochilus wilsoni;Animalia;Insecta;Sí;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Borrachito de Tolhuaca, borrachito listado de Tolhuaca;Erichius virgatus;Animalia;Insecta;Sí;VIII-IX;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;EN
Tarántula afín de Santiago;Euathlus affinis;Animalia;Arachnida;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Araña pollito, tarántula;Euathlus antai;Animalia;Arachnida;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Araña pollito, tarántula;Euathlus atacama;Animalia;Arachnida;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Araña pollito, tarántula;Euathlus condorito;Animalia;Arachnida;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Tarántula enana, araña pollito;Euathlus parvulus;Animalia;Arachnida;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Picaflor de Arica, estrellita chilena;Eulidia yarrellii;Animalia;Aves;Sí;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Rana de hojarasca de Oncol;Eupsophus altor;Animalia;Amphibia;Sí;XIV;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;EN
Sapo de Contulmo;Eupsophus contulmoensis;Animalia;Amphibia;Sí;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;EN
Sapo de Isla Mocha;Eupsophus insularis;Animalia;Amphibia;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN-RARA
Sapo de Miguel;Eupsophus migueli;Animalia;Amphibia;Sí;IX-XIV;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;EN-RARA
Sapo de Nahuelbuta;Eupsophus nahuelbutensis;Animalia;Amphibia;Sí;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;EN-RARA
Ranita de Los Queules;Eupsophus septentrionalis;Animalia;Amphibia;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
Cochinilla de fieltro (genérico);Exallococcus laureliae;Animalia;Insecta;Sí;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;EN
Cernícalo de Juan Fernández;Falco sparverius fernandenzis;Animalia;Aves;Sí;JF, DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;EN
Caracol terrestre de Juan Fernández;Fernandezia bulimoides;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia conifera;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia consimilis;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia cylindrella;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia diaphana;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia expansa;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia inornata;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia longa;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia philippiana;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia splendida;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia tryoni;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre de Juan Fernández;Fernandezia wilsoni;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Puye;Galaxias globiceps;Animalia;Actinopterygii;Sí;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;EN-RARA
Aguilucho de Más Afuera, aguilucho de Juan Fernández, blindado;Geranoaetus polyosoma exsul;Animalia;Aves;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
Vaquita del desierto de Paposo;Gyriosomus angustus;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Caracol;Heleobia ascotanensis;Animalia;Gastropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Caracol;Heleobia atacamensis;Animalia;Gastropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Caracol;Heleobia transitoria;Animalia;Gastropoda;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
No conocido;Henicotherus francisca;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Tarántula enana de penacho amarillo, araña pollito;Homoeomma orellanai;Animalia;Arachnida;Sí;VI-VII;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
Sapo ;Insuetophrynus acarpicus;Animalia;Amphibia;Sí;IX-XIV;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;EN-RARA
Mosca colibrí enana;Lasia pulla;Animalia;Insecta;Sí;XVI;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;EN
Lagartija de Garín;Liolaemus carlosgarini;Animalia;Reptilia;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagartija de Lolol;Liolaemus confusus;Animalia;Reptilia;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagarto negro;Liolaemus curis;Animalia;Reptilia;Sí;VI-VII;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagartija de Fabián;Liolaemus fabiani;Animalia;Reptilia;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagartija de Fox;Liolaemus foxi;Animalia;Reptilia;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagartija del Cerro Cantillana, lagarto de Frassinetti;Liolaemus frassinettii;Animalia;Reptilia;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagartija de Herman Núñez;Liolaemus hermannunezi;Animalia;Reptilia;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Lagartija de Leftraru, Leftraru’s Lizard (Inglés);Liolaemus leftrarui;Animalia;Reptilia;Sí;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;EN
Lagarto leopardo;Liolaemus leopardinus;Animalia;Reptilia;Sí;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagartija de Manuel;Liolaemus manueli;Animalia;Reptilia;Sí;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagartija;Liolaemus melaniceps;Animalia;Reptilia;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagartija negro azulada, Black Bluish Lizard (Inglés);Liolaemus nigrocoeruleus;Animalia;Reptilia;Sí;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagarto leopardo de Norma, lagarto de los cristales;Liolaemus normae;Animalia;Reptilia;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Lagarto del escorial, Slag Lizard (Inglés);Liolaemus scorialis;Animalia;Reptilia;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN
Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;VI-VIII;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;EN
Lagartija del Azufre;Liolaemus thermarum;Animalia;Reptilia;Sí;VI-VII;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagarto leopardo de Ubaghs, Ubaghs’ Leopard Lizard (Inglés);Liolaemus ubaghsi;Animalia;Reptilia;Sí;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lagartija;Liolaemus villaricensis;Animalia;Reptilia;Sí;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;EN
Pololo de Paposo;Luispenaia paposo;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Zorro de Chiloé;Lycalopex fulvipes;Animalia;Mammalia;Sí;VIII-X;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;EN
Camarón almeja de Huentelauquén;Lynceus huentelauquensis;Animalia;Branchiopoda;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;V-XII, RM?;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;EN
Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;RM-IX;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;EN
"No tiene, se propone ""pulgón del Ruíl""";Neuquenaphis staryi;Animalia;Insecta;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
;Nigroperla costalis;Animalia;Insecta;Sí;VII-IX;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;CR
Insecto joya;Nycterinus angusticollis;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Cucaracho negro;Nycterinus borealis;Animalia;Insecta;Sí;I-II;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Tenebrio de Mannerheim, teatino de Mannerheim;Nycterinus mannerheimi;Animalia;Insecta;Sí;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Tenebrio de Peña, teatino de Peña;Nycterinus penai;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Caracol terrestre Omalonyx;Omalonyx gayana;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR
;Oogenius castilloi;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
;Oogenius penai;Animalia;Insecta;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Karachi, orestias;Orestias ascotanensis;Animalia;Actinopterygii;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Karachi, orestias;Orestias chungarensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Pez (genérico);Orestias gloriae;Animalia;Actinopterygii;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Karachi, orestias;Orestias laucaensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Karachi, orestias;Orestias parinacotensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Karachi;Orestias piacotensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Escama  gigante de palma chilena;Palmaspis jubae;Animalia;Insecta;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
;Paraholopterus nahuelbutensis;Animalia;Insecta;Sí;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;CR
Gusano aterciopelado, onicóforo (genérico);Paropisthopatus umbrinus;Animalia;Udeonycophora;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;V-X;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;EN
Carmelita de Concepción;Percilia irwini;Animalia;Actinopterygii;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN
;Phyllopetalia altarensis;Animalia;Insecta;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Matuasto de Alicahue;Phymaturus alicahuense;Animalia;Reptilia;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
