NOMBRE CIENTÍFICO;NOMBRE COMÚN;REINO;"ENDÉMICA
respecto de Chile
 
-- = No presente en Chile

? = dudoso";"DISTRIBUCIÓN REGIONES:
ANT= ANTARTICA
DV= DESVENTURADAS
IP= ISLA DE PASCUA
JF= Arch. JUAN FERNÁNDEZ
SG= SALAS Y GOMEZ
? = Sin datos o de presencia dudosa o requiere confirmación";Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Magallanes continental e insular;Antártica;Isla Pascua;Salas y Gómez;Juan Fernandez;Desventuradas;"CATEGORÍA VIGENTE:
CR = En peligro crítico
DD = Datos insuficientes
EN = En Peligro
EW= Extinta en estado silvestre
EX = Extinta
LC = Preocupación menor
NT = Casi amenazada
R  = Rara
VU = Vulnerable";"ID
Inven
tario
Na
cio
nal";
Abrocoma bennetti;ratón chinchilla común, ratón chinchilla de Bennett, bori;Animalia;SI;III-VIII;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;LC;2814;
Abrocoma cinerea;ratón chinchilla de cola corta, ratón chinchilla cenicienta;Animalia;NO;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;766;
Abrothrix longipilis;ratón lanudo común, ratón de pelo largo;Animalia;NO;IV-XII;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;773;
Acaena masafuerana; ;Plantae;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;1071;
Acalodegma vidali;;Animalia;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;8249;
Acanthinodera cumingii;madre de la culebra, matabuey, matacaballo, llico, jotezón del monte;Animalia;SI;IV-IX;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;LC;8250;
Acanthococcus ventrispinus;cochinilla de fieltro (genérico);Animalia;No;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;DD;;
Acanthogonatus hualpen;Araña (genérico);Animalia;SI;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR;;
Acanthogonatus pissii;Araña cebra dorada;Animalia;Si;IV-VIII;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;LC;;
Acarospora altoandina;liquen;Fungi;NO;III-RM;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DD;;
Acarospora bullata;liquen;Fungi;NO;III?-IV?, V-VI, VII?-IX?;0;0;0;sd;sd;1;1;1;sd;sd;sd;sd;0;0;0;0;0;0;0;0;0;LC;;
Acarospora lorentzii;liquen;Fungi;NO;IV?-V?, RM, VI?-VII?;0;0;0;0;sd;sd;1;sd;sd;0;0;0;0;0;0;0;0;0;0;0;0;LC;;
