Reino;Nombre Cinetífico;Nombre Común;Estado de Conservación vigente;URL Ficha;
"Archaea";"Halobaculum gomorrense";"";"";"https://simbio.mma.gob.cl/Especies/Details/1";
"Archaea";"Natronomonas pharaonis";"";"";"https://simbio.mma.gob.cl/Especies/Details/2";
"Archaea";"Methanohalophilus mahii";"";"";"https://simbio.mma.gob.cl/Especies/Details/3";
"Animalia";"Philodina roseola";"";"";"https://simbio.mma.gob.cl/Especies/Details/4";
"Animalia";"Trichotria tetractis";"";"";"https://simbio.mma.gob.cl/Especies/Details/5";
"Animalia";"Bicrisia biciliata";"";"";"https://simbio.mma.gob.cl/Especies/Details/6";
"Animalia";"Pseudidmonea fissurata";"";"";"https://simbio.mma.gob.cl/Especies/Details/7";
"Animalia";"Pseudidmonea gracilis";"";"";"https://simbio.mma.gob.cl/Especies/Details/8";
"Animalia";"Heteropora chilensis";"";"";"https://simbio.mma.gob.cl/Especies/Details/9";
"Animalia";"Nevianipora milneana";"";"";"https://simbio.mma.gob.cl/Especies/Details/10";
"Animalia";"Fasciculipora maeandrina";"";"";"https://simbio.mma.gob.cl/Especies/Details/11";
"Animalia";"Aetea anguina";"";"";"https://simbio.mma.gob.cl/Especies/Details/12";
"Animalia";"Stephanollona longispinata";"";"";"https://simbio.mma.gob.cl/Especies/Details/13";
"Animalia";"Aimulosia antarctica";"";"";"https://simbio.mma.gob.cl/Especies/Details/14";
"Animalia";"Aimulosia australis";"";"";"https://simbio.mma.gob.cl/Especies/Details/15";
"Animalia";"Scruparia ambigua";"";"";"https://simbio.mma.gob.cl/Especies/Details/16";
"Animalia";"Hippadenella rouzaudi";"";"";"https://simbio.mma.gob.cl/Especies/Details/17";
"Animalia";"Ogivalia elegans";"";"";"https://simbio.mma.gob.cl/Especies/Details/18";
"Animalia";"Ogivalia sagittirostra";"";"";"https://simbio.mma.gob.cl/Especies/Details/19";
"Animalia";"Exochella longirostris";"";"";"https://simbio.mma.gob.cl/Especies/Details/20";
"Animalia";"Odontoporella adpressa";"";"";"https://simbio.mma.gob.cl/Especies/Details/21";
"Animalia";"Arachnopusia monoceros";"";"";"https://simbio.mma.gob.cl/Especies/Details/22";
"Animalia";"Arachnopusia discors";"";"";"https://simbio.mma.gob.cl/Especies/Details/23";
"Animalia";"Chondriovelum angustilobata";"";"";"https://simbio.mma.gob.cl/Especies/Details/24";
"Animalia";"Celleporella hyalina";"";"";"https://simbio.mma.gob.cl/Especies/Details/25";
"Animalia";"Celleporella alia";"";"";"https://simbio.mma.gob.cl/Especies/Details/26";
"Animalia";"Hippothoa divaricata";"";"";"https://simbio.mma.gob.cl/Especies/Details/27";
"Animalia";"Cornucopina ovalis";"";"";"https://simbio.mma.gob.cl/Especies/Details/28";
"Animalia";"Kinetoskias pocillum";"";"";"https://simbio.mma.gob.cl/Especies/Details/29";
"Animalia";"Carbasea ovoidea";"";"";"https://simbio.mma.gob.cl/Especies/Details/30";
"Animalia";"Smittoidea pachydermata";"";"";"https://simbio.mma.gob.cl/Especies/Details/31";
"Animalia";"Smittoidea bulbosa";"";"";"https://simbio.mma.gob.cl/Especies/Details/32";
"Animalia";"Parasmittina dubitata";"";"";"https://simbio.mma.gob.cl/Especies/Details/33";
"Animalia";"Smittina jullieni";"";"";"https://simbio.mma.gob.cl/Especies/Details/34";
"Animalia";"Smittina undulimargo";"";"";"https://simbio.mma.gob.cl/Especies/Details/35";
"Animalia";"Smittina leptodentata";"";"";"https://simbio.mma.gob.cl/Especies/Details/36";
"Animalia";"Smittina chilensis";"";"";"https://simbio.mma.gob.cl/Especies/Details/37";
"Animalia";"Smittina monacha";"";"";"https://simbio.mma.gob.cl/Especies/Details/38";
"Animalia";"Smittina lebruni";"";"";"https://simbio.mma.gob.cl/Especies/Details/39";
"Animalia";"Smittina landsborovii";"";"";"https://simbio.mma.gob.cl/Especies/Details/40";
"Animalia";"Smittina euparypha";"";"";"https://simbio.mma.gob.cl/Especies/Details/41";
"Animalia";"Smittina smittiana";"";"";"https://simbio.mma.gob.cl/Especies/Details/42";
"Animalia";"Aspidostoma giganteum";"";"";"https://simbio.mma.gob.cl/Especies/Details/43";
"Animalia";"Callopora deseadensis";"";"";"https://simbio.mma.gob.cl/Especies/Details/44";
"Animalia";"Caberea darwinii";"";"";"https://simbio.mma.gob.cl/Especies/Details/45";
"Animalia";"Menipea patagonica";"";"";"https://simbio.mma.gob.cl/Especies/Details/46";
"Animalia";"Menipea flagellifera";"";"";"https://simbio.mma.gob.cl/Especies/Details/47";
"Animalia";"Amastigia benemunita";"";"";"https://simbio.mma.gob.cl/Especies/Details/48";
"Animalia";"Lacerna eatoni";"";"";"https://simbio.mma.gob.cl/Especies/Details/49";
"Animalia";"Lacerna hosteensis";"";"";"https://simbio.mma.gob.cl/Especies/Details/50";
"Animalia";"Romancheina labiosa";"";"";"https://simbio.mma.gob.cl/Especies/Details/51";
"Animalia";"Fenestrulina majuscula";"";"";"https://simbio.mma.gob.cl/Especies/Details/52";
"Animalia";"Fenestrulina horrida";"";"";"https://simbio.mma.gob.cl/Especies/Details/53";
"Animalia";"Microporella hyadesi";"";"";"https://simbio.mma.gob.cl/Especies/Details/54";
"Animalia";"Microporella personata";"";"";"https://simbio.mma.gob.cl/Especies/Details/55";
"Animalia";"Adeonella fuegensis";"";"";"https://simbio.mma.gob.cl/Especies/Details/56";
"Animalia";"Adeonella patagonica";"";"";"https://simbio.mma.gob.cl/Especies/Details/57";
"Animalia";"Andreella megapora";"";"";"https://simbio.mma.gob.cl/Especies/Details/58";
"Animalia";"Osthimosia signata";"";"";"https://simbio.mma.gob.cl/Especies/Details/59";
"Animalia";"Osthimosia eatonensis";"";"";"https://simbio.mma.gob.cl/Especies/Details/60";
"Animalia";"Osthimosia bicornis";"";"";"https://simbio.mma.gob.cl/Especies/Details/61";
"Animalia";"Orthoporidroides erectus";"";"";"https://simbio.mma.gob.cl/Especies/Details/62";
"Animalia";"Orthoporidra petiolata";"";"";"https://simbio.mma.gob.cl/Especies/Details/63";
"Animalia";"Catadysis pygmaeum";"";"";"https://simbio.mma.gob.cl/Especies/Details/64";
"Animalia";"Schizoporella chondra";"";"";"https://simbio.mma.gob.cl/Especies/Details/65";
"Animalia";"Chaperiopsis propinqua";"";"";"https://simbio.mma.gob.cl/Especies/Details/66";
"Animalia";"Chaperiopsis cervicornis";"";"";"https://simbio.mma.gob.cl/Especies/Details/67";
"Animalia";"Chaperiopsis galeata";"";"";"https://simbio.mma.gob.cl/Especies/Details/68";
"Animalia";"Cylindroiulus britannicus";"";"";"https://simbio.mma.gob.cl/Especies/Details/69";
"Animalia";"Cylindroiulus latestriatus";"";"";"https://simbio.mma.gob.cl/Especies/Details/70";
"Animalia";"Blaniulus guttulatus";"";"";"https://simbio.mma.gob.cl/Especies/Details/71";
"Animalia";"Ologonosoma robustum";"";"";"https://simbio.mma.gob.cl/Especies/Details/72";
"Animalia";"Anaulacodesmus angolus";"";"";"https://simbio.mma.gob.cl/Especies/Details/73";
"Animalia";"Oxidus gracilis";"";"";"https://simbio.mma.gob.cl/Especies/Details/74";
"Animalia";"Monenchodesmus michaelseni";"";"";"https://simbio.mma.gob.cl/Especies/Details/75";
"Animalia";"Monenchodesmus inermis";"";"";"https://simbio.mma.gob.cl/Especies/Details/76";
"Animalia";"Tsagonus nahuelbutae";"";"";"https://simbio.mma.gob.cl/Especies/Details/77";
"Animalia";"Tsagonus concolor";"";"";"https://simbio.mma.gob.cl/Especies/Details/78";
"Animalia";"Brachydesmus superus";"";"";"https://simbio.mma.gob.cl/Especies/Details/79";
"Animalia";"Nannolene nigrescens";"";"";"https://simbio.mma.gob.cl/Especies/Details/80";
"Animalia";"Autostreptus chilensis";"";"";"https://simbio.mma.gob.cl/Especies/Details/81";
"Animalia";"Bairdoppilata hirsuta";"";"";"https://simbio.mma.gob.cl/Especies/Details/82";
"Animalia";"Poseidonamicus minor";"";"";"https://simbio.mma.gob.cl/Especies/Details/83";
"Animalia";"Macrocypridina castanea";"";"";"https://simbio.mma.gob.cl/Especies/Details/84";
"Animalia";"Bathyleberis grossmani";"";"";"https://simbio.mma.gob.cl/Especies/Details/85";
"Animalia";"Carduiceps zonarius";"";"";"https://simbio.mma.gob.cl/Especies/Details/86";
"Animalia";"Pelmatocerandra setosa";"";"";"https://simbio.mma.gob.cl/Especies/Details/87";
"Animalia";"Degeeriella rufa";"";"";"https://simbio.mma.gob.cl/Especies/Details/88";
"Animalia";"Lunaceps limosella";"";"";"https://simbio.mma.gob.cl/Especies/Details/89";
"Animalia";"Hoplopleura andina";"";"";"https://simbio.mma.gob.cl/Especies/Details/90";
"Animalia";"Austromenopon popellus";"";"";"https://simbio.mma.gob.cl/Especies/Details/91";
"Animalia";"Cicindela trifasciata";"";"";"https://simbio.mma.gob.cl/Especies/Details/92";
